card,labels,blue_fact,pm_status,missing,next_action,proof
"Codex plan","В работе; обновить","План июня, мастер-план и светофор собраны","вести дальше","Нет runtime proof и финального launch-readiness","Использовать как управляющую карточку без перегруза","june-plan.html"
"Прогнать все макеты готовых ТЗ через Codex","В работе","Разбор и матрицы созданы","частично","Не все старые ТЗ доказаны как P0","Довести до готово/правки/отложено","jun-02-ready-tz-triage.html"
"Email tempates","В работе","Пакет событий и no-send логика описаны","пакет есть","Нет proof на одном safe order","Проверить после R01","communications-support-analytics-execution-board-2026-06-06.html"
"Описать регламент работы на основе Nebula / PbExpert","В работе","Регламент v1 и обучение извлечены","v1 готов, нужен прогон","Нет принятого ответа E01","Провести ревизию Ксении и симуляцию E01","expert-work-regulation-v1.html"
"Продумать ЗП для сотрудников","В работе; обновить","PM-модель подготовлена","ждет решения","Нужны ставки/валюта/период/удержания","Сделать decision sheet","expert-agent-compensation-handoff.html"
"Школа экспертов для первых 5 экспертов","В работе","Материалы обучения найдены и адаптированы","не готово к трафику","0/5 accepted","Запустить лист допуска E01-E05","first-five-expert-admission-execution-board-2026-06-06.html"
"Пакет рабочего места эксперта и агента в админке","ТЗ Игорю","co2p-пакет описан","передача Игорю","Нет runtime proof assignment/SLA/answer/accruals","Связать с R01 safe order","expert-agent-workspace-handoff.html"
"Проверка страниц и функций перед запуском рекламы","В работе","Созданы карты backend gap, QA, support, docs, экранов","QA stop","Нет safe order/support/QA PASS","После R01/R02 запускать QA-runbook","page-content-backend-readiness-map-2026-06-06.html"
"Работа с Антоном / дизайн","На согласование; Codex","Есть волны и пакеты Антону","на согласовании","Экран должен быть связан с backend/action/content/QA","Передавать screen contract","page-content-backend-readiness-map-2026-06-06.html"
"Новый макет страны / города","В работе","Не центральный P0 первой консультации","параллельная задача","Нужно отделить от launch P0","Оставить только при прямом вкладе в pre-traffic/SEO","launch-layer-readiness-map-2026-06-06.html"
