Зона,Статус,PM делает сам,Кого ждать,Когда дергать Алексея/основателя,Что меняет статус,Proof
Стратегия и мастер-план,PM сам,"Blue Panel; светофор; июньский план; proof-ссылки",Никого,"Если меняется приоритет или модель запуска",Опубликованный мастер-план,alexey-master-plan.html
Первый safe order,ждем команду,"Запрос; лист приема; missing list; критерии",Игорь,"Если BLOCKED по решению/приоритету/ресурсу","Accepted R01: order/question/session/performer/answer/no-send/support",first-two-proof-response-capture-sheet-2026-06-06.html
Допуск E01 для QA,ждем команду,"Критерии допуска; журнал; scorecard",Ксения/эксперт,"Если нет доступного эксперта или нужна замена","Accepted R02: пробный ответ SLA язык анкета verdict",first-five-expert-admission-execution-board-2026-06-06.html
QA-start,ждет READY,"Runbook; capture sheet; PASS/WARN/STOP",Игорь+Ксения затем QA,"Если нужен приоритет тестировщика или спор по STOP/WARN",R01+R02 accepted затем QA report,prelaunch-qa-runbook-2026-06-06.html
Уведомления и no-send,ждем runtime,"События; шаблоны; переменные; acceptance",Игорь/QA,"Если нужен provider или разрешение реальной отправки",event_id preview external_send=false,communications-support-analytics-execution-board-2026-06-06.html
Support и проблемный заказ,ждем runtime,"Failure states; owner; decision path",Игорь/support/QA,"Если нужен business decision по refund/компенсации",support_case_id owner decision closure,support-problem-control-order-capture-sheet-2026-06-06.html
Страницы дизайн контент,PM сам,"Сверка макетов с backend контентом errors QA",Антон/Игорь,"Если меняется оффер или визуальная стратегия",screen contract accepted,page-content-backend-readiness-map-2026-06-06.html
Школа и регламент экспертов,PM сам,"Материалы; регламент; тесты; scorecard",Ксения как reviewer,"Если нужна замена эксперта или санкции/мотивация",material published + admission gate,expert-launch-admission-control-2026-06-06.html
Документы сайта и checkout,founder gate,"HTML-ready пакет; disclaimers; места размещения",Founder/legal/payment,"Всегда перед публикацией LP/checkout",seller provider descriptor refund geography approval,public-docs-checkout-execution-board-2026-06-06.html
Платежи,founder gate,"Acceptance по checkout wording analytics no real charge",Founder/payment/Игорь,"До любых боевых платежей",payment path approved + safe test proof,first-traffic-economy-launch-gate-2026-06-06.html
Первый трафик,stop,"Офферы; UTM; daily report; budget draft",QA+founder,"Перед paid traffic внешней публикацией или бюджетом",QA PASS/WARN + capacity + docs/payment + analytics,first-traffic-execution-board-2026-06-06.html
Trello,PM сам читает,"Не меняет названия; учитывает current source-of-truth",Никого,"Если нужна публикация/изменение карточек",карточка связана с proof-страницей,trello-bluepanel-sync-control-2026-06-06.html
