Служебно,Название в Trello,Зачем это нужно,Результат для приемки,Часы,Статус,Следующий исполнитель,Proof
JUN-01,Codex plan,"Собрать управляемую систему проекта: мастер-план, доказательства, задачи, статусы и связи с Trello","Blue Panel с планом запуска, состоянием проекта, задачами месяца и следующим proof",18,"ведение PM",PM,"alexey-master-plan.html; june-plan.html"
JUN-02,Прогнать все макеты готовых ТЗ через Codex,"Разобрать прошлые ТЗ и макеты, чтобы понять, что можно отдавать в разработку","Реестр готовности ТЗ/макетов и очередь co2p-пакетов",28,"пакет PM есть",PM->Игорь,"jun-02-ready-tz-triage.html; jun02-igor-co2p-queue.html"
JUN-03,Email tempates,"Клиент, эксперт, админ и support должны понимать статусы заказа, оплаты, ответа и проблемы","Пакет событий и уведомлений с no-send проверкой",22,"документ готов; внедрение не доказано",Игорь+QA,"email-notifications-handoff.html; events-notifications-launch-control.html"
JUN-04,Описать регламент работы на основе Nebula / PbExpert,"Первые 5 экспертов должны работать по одному стандарту","Регламент v1 и проверка понятности Ксенией",22,"нужна ревизия Ксении",Ксения->PM,"expert-work-regulation-v1.html; nebula-pbexpert-ksenia-source-proof.html"
JUN-05,Продумать ЗП для сотрудников,"Понять роли, оплату, бонусы, удержания, нагрузку и влияние на маржу","Модель начислений и список решений основателя",12,"ждет решений",Основатель+PM,"expert-agent-compensation.html; founder-compensation-decisions.html"
JUN-06,Школа экспертов для первых 5 экспертов,"Довести первых 5 экспертов до стандарта допуска","Школа v1, тест, симуляция, журнал допуска",16,"фактический допуск не доказан",PM+Ксения+QA,"expert-school-v1-operational-pack.html; first-five-expert-admission-journal.html"
JUN-07,Пакет рабочего места эксперта и агента в админке,"Исполнитель должен видеть задачу, контекст, срок, чат и начисления","Пакет для Игоря по ролям, очередям, статусам, событиям и проверке",20,"ТЗ готово; runtime не доказан",Игорь+QA,"expert-agent-workspace-handoff.html; co2p-expert-agent-workspace-service-session.html"
JUN-08,Проверка страниц и функций перед запуском рекламы,"Доказать клиентский путь, админку, эксперта, support, уведомления и проблемные состояния","Карта готовности и тестовый сценарий без реальных списаний и писем",12,"реклама запрещена",Игорь+QA+PM,"test-order-proof-execution-pack.html; launch-readiness-master-control.html"
JUN-UX,Работа с Антоном / дизайн,"Дизайн должен вести клиента к оплате и доверию","Список правок Антону по экранам, сценариям и backend-связи",10,"на согласовании",Антон+PM,"anton-oracle-nebula-design-fixes.html; anton-paid-funnel-igor-qa-package.html"
GEO,Новый макет страны / города,"Отдельная задача по Confideline geo-страницам, вне ядра Nebula MVP","Отдельный пакет и оценка вне 160 часов Nebula",вне 160,"отдельный поток",PM,"Trello only"
