"area","list","name","url","comments","attachments","links"
"chat-ai-messaging","Информация","Порядок работы с задачами","https://trello.com/c/9BXWigzx","0","0","0"
"general","Информация","! Шаблон карточки. Не Удалять !","https://trello.com/c/R3zG94rp","0","0","0"
"general","Информация","Карта проекта для YouDate","https://trello.com/c/YTbUpXyP","1","0","1"
"general","Информация","Карта проекта для Содержанок","https://trello.com/c/2YF1MPkU","1","0","1"
"general","Информация","Регистрация на сайте rabota.ua","https://trello.com/c/lFuqVm1g","1","0","1"
"nebula-strategy","Информация","Nebula","https://trello.com/c/pqvpoJ1S","2","0","0"
"design-frontend","Информация","Дизайнеры","https://trello.com/c/ndCJvPF7","8","1","9"
"chat-ai-messaging","Информация","Карта чатов NEbula / Casual","https://trello.com/c/6tuZ8sB5","0","0","1"
"legal-docs","Информация","Политика / terms","https://trello.com/c/MSZQtXaS","3","0","3"
"general","Архив (Выполнено)","Сохранить лендинг по анализам","https://trello.com/c/GhCqaXXl","0","4","5"
"general","Архив (Выполнено)","Таблица сравнения сайтов","https://trello.com/c/T1FgBdRQ","1","0","1"
"general","Архив (Выполнено)","Оценка функционала сайта RH / Содержанки","https://trello.com/c/ANoE9iaC","0","1","1"
"design-frontend","Архив (Выполнено)","Найти верстальшика на RH, Сод, (3 шт)","https://trello.com/c/8niXIR9M","4","0","4"
"general","Архив (Выполнено)","Подготовить примеры анализов","https://trello.com/c/ePulr9EY","0","4","4"
"chat-ai-messaging","Архив (Выполнено)","Примеры чат-ботов - Дайвинчик","https://trello.com/c/xGDQhKrO","0","18","18"
"general","Архив (Выполнено)","ТЗ по сайду содержанок (для обсуждения и корректировок)","https://trello.com/c/PXhFYUGF","7","2","7"
"chat-ai-messaging","Архив (Выполнено)","Примеры чат-ботов - XO","https://trello.com/c/6jtQYeGI","1","19","19"
"general","Архив (Выполнено)","Тестовая среда для программиста","https://trello.com/c/eZoNmx3h","2","0","3"
"general","Архив (Выполнено)","Тестовая среда для прогера на Yii2","https://trello.com/c/73h0MgwU","1","0","2"
"general","Архив (Выполнено)","Тестовая среда для прогера по yii2","https://trello.com/c/FmvNeaOx","1","0","1"
"design-frontend","Архив (Выполнено)","Тестовая среда для верстальщика","https://trello.com/c/3GBGbPz7","1","0","0"
"chat-ai-messaging","Архив (Выполнено)","Расшифровка анализов AI","https://trello.com/c/3vV2c2wr","2","0","3"
"general","Архив (Выполнено)","Купить шаблоны сайтов","https://trello.com/c/VrcCVwIe","1","0","2"
"general","Архив (Выполнено)","Выбрать гипотезу для лендинга по ИИ","https://trello.com/c/vg6Z1pSb","1","0","0"
"design-frontend","Архив (Выполнено)","Отрисовать недостающие страницы для H","https://trello.com/c/MhIzJjxS","1","1","2"
"chat-ai-messaging","Архив (Выполнено)","Найти программиста для Бота","https://trello.com/c/uLKDQRWY","5","3","7"
"chat-ai-messaging","Архив (Выполнено)","Прототип чат-бота","https://trello.com/c/sQE044pT","7","1","4"
"nebula-strategy","Архив (Выполнено)","Небула. Подготовительный этап","https://trello.com/c/T5o0gWEu","7","0","5"
"chat-ai-messaging","Архив (Выполнено)","Работа с дизайнером по страницам H","https://trello.com/c/SbEOcTaR","2","2","5"
"design-frontend","Архив (Выполнено)","Описать главную страницу для S","https://trello.com/c/tjpYVtrk","2","1","2"
"nebula-strategy","Архив (Выполнено)","Описание необходимого функционала для аналога Nebula","https://trello.com/c/ScHSOeqV","3","0","3"
"design-frontend","Архив (Выполнено)","Выбрать одну из 3-х страниц шаблона","https://trello.com/c/rqQ7rxIP","0","0","4"
"nebula-strategy","Архив (Выполнено)","Платная консультация по эзотерике (как клиент)","https://trello.com/c/1jG8Hv4M","3","2","7"
"general","Архив (Выполнено)","ТЗ для премиум функций (из реестра задач)","https://trello.com/c/SlTHhSJp","2","0","1"
"nebula-strategy","Архив (Выполнено)","Адаптация обучающего материала от Nebula","https://trello.com/c/Z3gdn6rU","5","3","7"
"general","Архив (Выполнено)","ТЗ по управлению платными функциями (из реестра)","https://trello.com/c/MlB0pH2x","3","0","1"
"design-frontend","Архив (Выполнено)","Ревизия всех страниц Юдейт для проекта S","https://trello.com/c/G11mfR6V","5","0","2"
"legal-docs","Архив (Выполнено)","Политики на сайт Юдейт","https://trello.com/c/NoOHV9NV","8","11","22"
"design-frontend","Архив (Выполнено)","Прототип главной страницы S","https://trello.com/c/Y9GGGw4Q","3","1","4"
"design-frontend","Не актуально","ТЗ для дизайнера по RH","https://trello.com/c/PnrET9qO","2","2","5"
"design-frontend","Не актуально","Case 8 - обновить дизайн","https://trello.com/c/xKSQx2yH","0","1","7"
"general","Не актуально","Синхронизация кодовой базы с git","https://trello.com/c/3yJTYSBx","0","0","2"
"general","Не актуально","Найти программиста на подстраховку RH и сайт содержанок","https://trello.com/c/etfIeQKE","0","0","0"
"design-frontend","Не актуально","Case 66 - страница контроля","https://trello.com/c/TJQkuYho","1","0","2"
"design-frontend","Не актуально","Отрисовать недостающие страницы для RH","https://trello.com/c/24spinhb","1","0","1"
"chat-ai-messaging","Не актуально","Разработать главную страницу для сайта ""Содержанки""","https://trello.com/c/F3l0bty8","0","0","0"
"design-frontend","Не актуально","8.	Не корректно отображается перевод русского текста на странице “Найти совпадения”","https://trello.com/c/BPRH5CTK","0","1","2"
"general","Не актуально","Дает создавать дубли стран","https://trello.com/c/RqZgUOP9","0","1","2"
"general","Не актуально","Устранить баг по сохранению изменений в языке в панеле администратора","https://trello.com/c/ytzHZP17","0","1","2"
"chat-ai-messaging","Не актуально","ТЗ по доработкам","https://trello.com/c/8c5qCQAo","0","1","1"
"chat-ai-messaging","Не актуально","Исправить оставшиеся баги, недоработки (Андрей. прогер)","https://trello.com/c/8c2OxsJ3","0","0","0"
"general","Не актуально","Общий план","https://trello.com/c/0oCdlola","0","0","3"
"design-frontend","Не актуально","Найти верстальщика","https://trello.com/c/PrSKGT6M","0","0","0"
"design-frontend","Не актуально","Найти верстальщиков","https://trello.com/c/xBvATSXP","8","0","7"
"chat-ai-messaging","Полка (Когда-нибудь)","Голосовые сообщения в чате - надо ли?","https://trello.com/c/D2xhjBmF","0","0","0"
"chat-ai-messaging","Полка (Когда-нибудь)","Найти и сработаться с прогером","https://trello.com/c/aM3yiOA6","3","1","6"
"general","Полка (Когда-нибудь)","Сделать лендинг для гипотез","https://trello.com/c/b48ZD9sP","1","0","1"
"chat-ai-messaging","Полка (Когда-нибудь)","Программист чат-ботов","https://trello.com/c/SG8qhM0Q","0","0","1"
"finance-payments","Полка (Когда-нибудь)","Подключ [redacted] платежные системы","https://trello.com/c/o5xgYdus","0","0","1"
"analytics-seo","Полка (Когда-нибудь)","Для SEO","https://trello.com/c/vMzboISh","0","0","0"
"general","Полка (Когда-нибудь)","Каталоги анкет / парсинг","https://trello.com/c/savz27uM","0","0","0"
"chat-ai-messaging","Полка (Когда-нибудь)","Бот","https://trello.com/c/mKew74Iq","0","0","0"
"design-frontend","Полка (Когда-нибудь)","Задать стартовую страницу сайта в соответствии с url","https://trello.com/c/tlzePEZt","0","0","0"
"general","Полка (Когда-нибудь)","HTML5/CSS3. HTML - должен содержать минимум ошибок","https://trello.com/c/NijwhmEL","0","0","2"
"general","Полка (Когда-нибудь)","ТЗ по рекламным модальным окнам","https://trello.com/c/3wV1VmG8","0","0","0"
"general","Полка (Когда-нибудь)","Case 41 - реакции","https://trello.com/c/wWQyoquC","0","1","4"
"general","Полка (Когда-нибудь)","Перевод стран/городов","https://trello.com/c/OF6o5Az4","1","0","1"
"chat-ai-messaging","Полка (Когда-нибудь)","Доработать фильтр поиска под эзотерику N (после переноса)","https://trello.com/c/xDyet0Hc","0","0","0"
"design-frontend","Полка (Когда-нибудь)","Страница регистрации экспертов/агентов","https://trello.com/c/PTXlxb3k","0","0","0"
"chat-ai-messaging","Полка (Когда-нибудь)","Case 71 - телеграмбот как аналог сайта знакомств","https://trello.com/c/6spIuhRw","0","3","3"
"finance-payments","Полка (Когда-нибудь)","Case 61 - оплата за лайки","https://trello.com/c/RxpFcHXl","0","1","1"
"general","Полка (Когда-нибудь)","Добавить кнопку авторизации через телеграм","https://trello.com/c/lF4KDNIx","0","2","2"
"email-crm-notifications","Полка (Когда-нибудь)","Case 57 - телеграмбот для уведомлений партнеров","https://trello.com/c/PrLyIMEQ","1","0","0"
"general","Полка (Когда-нибудь)","Стоимость платных услуг в зависимости от регионов","https://trello.com/c/VHJDoEiO","0","0","0"
"chat-ai-messaging","Полка (Когда-нибудь)","Работа с верстальщиком по H","https://trello.com/c/3OCOHJF0","0","0","0"
"general","Полка (Когда-нибудь)","Используется ли у нас какойнибудь МемКеш. Если нет то надо делать.","https://trello.com/c/8nSBLmmv","1","0","1"
"design-frontend","План на октябрь","ТЗ для дизайнера","https://trello.com/c/jr6bj9tH","0","0","1"
"general","План на октябрь","Тестовое ТЗ для нового прогера","https://trello.com/c/CGZNEDnH","0","0","0"
"general","План на октябрь","Найти программиста на Рашен","https://trello.com/c/4Hz1pI9j","2","0","2"
"design-frontend","План на октябрь","Найти Дизайнера для ХАГС и запустить процесс редизайна.","https://trello.com/c/NQRdYkmh","3","0","7"
"general","План на октябрь","Тестирование Хагс на выявление недостающего функционала для запуска.","https://trello.com/c/1XGZAJSL","0","0","0"
"design-frontend","План на октябрь","Найти дизайнера","https://trello.com/c/N7vkvP1R","0","0","0"
"general","План на ноябрь","Rabota.ua - восстановить доступ","https://trello.com/c/V28BAKpH","1","0","0"
"design-frontend","План на ноябрь","Тестовая среда для дизайнера","https://trello.com/c/9SXjNiTD","2","1","2"
"chat-ai-messaging","План на ноябрь","План работы по Небуле","https://trello.com/c/3slPNQjC","1","0","0"
"chat-ai-messaging","План на ноябрь","Тестовая среда для программиста по чат-боту","https://trello.com/c/neYkjrQe","1","0","0"
"general","План на ноябрь","Потенциальный программист","https://trello.com/c/r4uD4KoR","2","0","3"
"general","План декабрь","Проверить программиста на yii2","https://trello.com/c/GqADRWrI","2","0","3"
"design-frontend","План декабрь","Главная страница сайта содержанок","https://trello.com/c/ruMprvP5","1","0","6"
"general","План декабрь","функционал по конвертированию загруженных картинок в формат webp","https://trello.com/c/yeivzuZG","0","0","0"
"chat-ai-messaging","План декабрь","Работа с AWS Amazon","https://trello.com/c/P3qOOze6","1","0","0"
"general","План на январь","Отчет за январь","https://trello.com/c/IDn7SVhc","1","0","0"
"general","План на январь","Общий план по YouDate","https://trello.com/c/0NMHjCy0","0","0","0"
"general","План на январь","Программист 1 для YouDate","https://trello.com/c/p62rozdq","0","0","2"
"general","План на январь","Программист 2 для YouDate","https://trello.com/c/0jPfnI40","0","0","0"
"general","План на январь","Тестовое ТЗ для прогера YouDate","https://trello.com/c/2xKaUnb5","1","0","0"
"design-frontend","План на январь","Изучить рынок дизайнеров Детинга","https://trello.com/c/goOZRUrw","2","0","0"
"general","План на январь","Привлечь к тестированию гипотез ""медицинские анализы"" специалиста по закупке трафика (не контекст)","https://trello.com/c/j5hqMf4A","1","0","0"
"general","План на январь","Наказать программиста-кидалу","https://trello.com/c/G7dVLpcQ","1","0","1"
"general","План на февраль","Отчет за февраль","https://trello.com/c/cDsRWxoU","0","0","1"
"general","План на февраль","! Прогер !","https://trello.com/c/93MboXel","0","0","0"
"general","План на февраль","Составить 10 ТЗ для прогера","https://trello.com/c/bqADOOyn","0","0","0"
"general","План на февраль","Отчет за февраль","https://trello.com/c/nlKHZRgO","0","0","1"
"general","План на февраль","Приведение всех полей пользователей для переноса","https://trello.com/c/c4EcXBb5","0","0","0"
"chat-ai-messaging","План на февраль","Найти и сработаться с дизайнером","https://trello.com/c/X15Dq9SZ","0","1","1"
"chat-ai-messaging","План на февраль","Найти и сработаться с прогером","https://trello.com/c/fg9zxQ2r","0","1","1"
"chat-ai-messaging","План на февраль","ТЗ для доработок шаблона H","https://trello.com/c/6Abyuevo","0","0","0"
"chat-ai-messaging","План на февраль","ТЗ для доработок шаблона S","https://trello.com/c/rvr5KgIx","0","0","0"
"design-frontend","План на февраль","Отрисовать недостающие страницы для YouDate","https://trello.com/c/r1gxxX2j","0","0","0"
"design-frontend","План на февраль","Отрисовать недостающие страницы для S","https://trello.com/c/jELo0FKn","0","0","0"
"general","План на февраль","Сформировать тарифные планы для H и для S","https://trello.com/c/SiescMxO","0","0","0"
"general","План на февраль","Описать систему начислений партнерам за действия","https://trello.com/c/GrTnCK1W","0","0","0"
"nebula-strategy","План на февраль","Небула. Аналитика","https://trello.com/c/d177F7tD","0","0","1"
"general","План на февраль","Лендинг для гипотез","https://trello.com/c/B6pohedQ","0","0","0"
"design-frontend","План на март","Отрисовать недостающие страницы для H","https://trello.com/c/lmDxJILX","0","1","1"
"general","План на март","Отрисовать лендинг по сайту расшифровке анализов","https://trello.com/c/Jp50d1Ut","2","0","0"
"general","План на апрель","Отчет за апрель","https://trello.com/c/7W2hOFiA","0","8","15"
"general","План на май","Отчет за май","https://trello.com/c/Qd3T5Hzp","0","6","8"
"general","План на июнь","Отчет за июнь","https://trello.com/c/9esE7cSp","0","9","12"
"chat-ai-messaging","План на июнь","проанализировать вес контент из группы Небула и составить список непонятных вещей, вопросов и тд которые далее проработаем","https://trello.com/c/LzB7e7qX","0","0","0"
"nebula-strategy","План на июнь","Поискать дизайнера для Nebula","https://trello.com/c/51amszof","2","0","3"
"analytics-seo","Backend in process","Case 56 - аналитика партнеров","https://trello.com/c/f4W5rcCq","0","3","9"
"design-frontend","Backend in process","Case 58 - страница транзакций","https://trello.com/c/czKjbVBG","0","1","2"
"general","Backend in process","Сase 70 - нотификации","https://trello.com/c/gtKjUKQK","0","0","1"
"general","Backend in process","Case 62 - куки","https://trello.com/c/iJW8tdPb","0","1","2"
"general","Backend in process","Case 64 - авторизация ТГ","https://trello.com/c/04tGMQ4T","0","0","6"
"general","Backend in process","Case 63 - API map / geo","https://trello.com/c/0F1rgMNQ","2","0","5"
"analytics-seo","На проверке","ТЗ аналитика на Дашборде","https://trello.com/c/whZiCsxv","0","1","2"
"analytics-seo","На проверке","Статистика / аналитика","https://trello.com/c/hFPIK4R5","0","1","1"
"general","На проверке","Многофакторная аутентификация","https://trello.com/c/kri4WbjQ","3","0","0"
"general","На проверке","ТЗ Авторизация через соцсети","https://trello.com/c/RB7eDSz8","4","1","2"
"email-crm-notifications","На проверке","Макеты для почтовых рассылок (ИИ)","https://trello.com/c/RX4P6jw5","0","1","2"
"support-ops","На проверке","ТЗ по тех поддержке на сайте (суппорт)","https://trello.com/c/IRQiN429","3","4","13"
"chat-ai-messaging","На проверке","Переводчик в чате (пользователь/агент)","https://trello.com/c/5cU9gpqd","3","0","2"
"general","На проверке","Bans basic","https://trello.com/c/4ZXdK8ma","1","5","5"
"general","На проверке","ТЗ доска объявлений на сайт S (из реестра задач)","https://trello.com/c/vxnR2rPw","4","2","3"
"email-crm-notifications","На проверке","Гипотезы по сборку email-базы потенциальных клиентов","https://trello.com/c/rlJphNyY","6","0","29"
"chat-ai-messaging","На проверке","ТЗ Ограничение отправки контактов в чате","https://trello.com/c/LYz7x7QS","6","2","7"
"general","На проверке","ТЗ по модерациям по типам","https://trello.com/c/iJ9ZORCY","4","1","4"
"general","На проверке","ТЗ. Отзывы и рейтинг специалистов (карточек специалистов)","https://trello.com/c/GVvW2vR6","5","3","3"
"general","На проверке","Договор на аренду жилья","https://trello.com/c/JcuabvYU","7","4","4"
"email-crm-notifications","На проверке","ТЗ по управлению email-рассылки из админки","https://trello.com/c/tHaAg57o","3","4","6"
