id,zone,status,what_exists,not_proven,owner,next_action,link
EX01,school_v1,yellow,"operational school package","E01-E05 completion","PM + Ksenia","issue/check materials",expert-school-v1-operational-pack.html
EX02,source_materials,yellow,"lesson/source register","full adaptation of all lessons","PM","fill or replace closed sources",expert-training-materials-register.html
EX03,work_regulation,yellow,"regulation v1","application in trial answer","PM + Ksenia","give to experts and collect questions",expert-work-regulation-v1.html
EX04,E01_E05_admission,red,"admission sheet and process","0/5 accepted","PM + Ksenia/E01-E05","get R02 E01 for QA and E01-E05 status",first-two-proof-response-capture-sheet-2026-06-06.html
EX05,trial_answer,red,"scorecard exists","no scored answers","PM + Answer Quality","score E01 then E02-E05",expert-trial-answer-quality-scorecard.html
EX06,workspace_access,red,"Igor handoff","runtime expert/agent role","Igor + QA","show E01 workspace on safe order",expert-agent-workspace-handoff.html
EX07,assignment_answer,red,"process described","order to assignment to answer","Igor + E01 + QA","check after R01/R02",expert-runtime-proof-register.html
EX08,SLA_availability,red,"SLA is launch requirement","work windows limits deadline","PM + Ksenia/E01-E05","collect availability and capacity",expert-work-regulation-v1.html
EX09,ranking_visibility,yellow,"need fixed","P0 formula and admin override","PM + Igor","make v1 ranking rule",expert-visibility-moderation-control.html
EX10,complaints_quality,red,"support and quality logic","impact on one order_id","Support + PM + QA","check bad answer/overdue",support-problem-proof-register.html
EX11,compensation,yellow,"compensation handoff","preview on test order","PM + Igor + founder","show accrual without payout",expert-agent-compensation-handoff.html
EX12,classical_recruitment_later,yellow,"transition model clear","public application/admission pipeline","PM + founder","defer until first five stabilized",expert-school-first-five-launch-package.html
