Материал;Где найден;Что доказано;Содержание извлечено;Статус;Следующее действие
Карточка “Адаптация обучающего материала от Nebula”;Trello Z3gdn6rU;Описание, вложения и комментарии сняты;Да, метаданные;источник снят;Использовать как главный источник школы
Урок 1. Структура и составляющие чата;Вложение Trello PPTX;Файл существует как вложение;Нет, 401;нужен доступ;Получить файл или публичный экспорт
Урок 2. Структура и составляющие чата;Вложение Trello PPTX;Файл существует как вложение;Нет, 401;нужен доступ;Получить файл или публичный экспорт
Урок 3 часть 1;Комментарий справа Trello, Google Drive;Ссылка найдена в комментарии;Нет;ссылка найдена;Проверить доступ и извлечь содержание
Drive-файл 1hA6;Комментарий справа Trello;Дополнительный файл найден;Нет;ссылка найдена;Определить урок/назначение
Drive-файл 1T56;Комментарий справа Trello;Дополнительный файл найден;Нет;ссылка найдена;Определить урок/назначение
Урок 5;Комментарий справа Trello, Google Presentation;Ссылка найдена;Нет;ссылка найдена;Извлечь структуру урока
Урок 6. Натальная карта / астрология;Вложение Trello ZIP и комментарий;Файл существует и продублирован;Нет, 401;нужен доступ;Получить ZIP и распаковать
Тесты по урокам 1-6;Фильтр Trello по обучению;Контур тестов упоминается;Нет;контур есть;Собрать формы в журнал допуска
Чек-лист Ксении;Фильтр Trello по обучению;Контур ревизии упоминается;Нет;контур есть;Использовать как ревизию понятности
