"ID","Layer","Source","Proven","Readiness","Link","Missing","Next"
"E01","QA / текущий сайт","Полный аудит сайта 2026-06-02","Есть публичный отчет полного аудита и каталог QA-отчетов","Красный для запуска, зеленый как источник","https://cutthreat.github.io/confideline/web/qa-reports/full-functional-audit-2026-06-02/","Сквозной тест платной консультации без реального платежа","Использовать как базу, но не как разрешение на рекламу"
"E02","QA / отчеты","Каталог QA reports","Есть публичный каталог проверок по bans, moderation, messages, auth, email, full audit","Желтый","https://cutthreat.github.io/confideline/web/qa-reports/","Связка каждого отчета с конкретным запусковым условием","Привязать релевантные отчеты к матрице готовности"
"E03","Trello / июнь","Аудит названий Trello","Снята история названий 10 карточек списка План на Июнь; исправлено искажение заголовка JUN-07 без служебного кода","Зеленый","artifacts/TRELLO_JUNE_TITLE_AUDIT_2026_06_04.csv","Еженедельная сверка изменений и метки обновить","Перед каждым обновлением Blue Panel сверять Trello-источник"
"E04","Trello / план месяца","Карта июньских карточек","9 карточек основного июньского плана связаны с Blue Panel; часы распределены на 160","Желтый","trello-source-map.html","Часть задач требует согласования с Заказчиком и фактического выполнения","Держать Trello как месячный план, Blue Panel как мастер-план"
"E05","Перед рекламой","Контрольный пакет платной консультации","Собрана матрица из 9 условий приемки: клиент, заказ, вопрос, админка, эксперт, уведомления, поддержка, итог, отчет","Желтый, методика готова","pre-traffic-paid-consultation-control.html","Фактический проход на сайте и скрины","После внедрения Игорем пройти сценарий и опубликовать QA proof"
"E06","Покупка / консультация","Пакет тестового заказа Игорю","Описана безопасная модель test order без реального платежа","Красный до реализации","igor-test-order-consultation-handoff.html","Рабочая связь order → question → assignment → chat → answer","Передать/проверить реализацию тестового заказа"
"E07","Email / уведомления","Email handoff и web-контур","Есть события, шаблоны, переменные, no-send логика и публичный web-контур","Желтый","email-notifications-handoff.html","Доказательство отправки/логирования событий в полном маршруте без реальных писем","Связать с test order и проверить no-send"
"E08","Чат / админка","Admin chat workspace v2","Есть публичный интерактивный контур по рабочему чату","Желтый","https://cutthreat.github.io/confideline/web/admin-chat-workspace-v2/elements-dictionary-panel.html?tab=flow&v=fd72087a67ea33da42b0b2acc09d864d7f9d17bf","Доказательство внедрения в backend Confideline и роли эксперта/агента","Связать с рабочим местом эксперта и задачей Игорю"
"E09","Эксперты / школа","Реестр учебных материалов","Найдены материалы обучения, уроки, тесты и места, где доступ закрыт","Желтый","expert-training-materials-register.html","Полный доступ к закрытым вложениям и заполненный журнал 5 экспертов","Собрать финальный маршрут допуска первых 5 экспертов"
"E10","Эксперты / рабочее место","Пакет рабочего места эксперта и агента","Описаны роли, задачи, сроки, статусы, качество, начисления и проверка","Красный до runtime proof","expert-agent-workspace-handoff.html","Фактическая роль в админке и работа с реальной тестовой консультацией","Реализовать/подтвердить вкладки и сценарий в админке"
"E11","Дизайн / фронт","Nebula design crosswalk","Есть карта связывания макетов, функций, контента и проверки","Желтый","nebula-design-function-content-crosswalk.html","Полный screen-by-screen proof по всем экранам Oracle/Nebula","Продолжить разбор экранов: макет → backend → контент → состояния → proof"
"E12","Поддержка / возвраты","Support/refund handoff","Описана карточка обращения, статусы, связи с заказом, чатом и решением","Красный до runtime proof","support-refund-handoff.html","Тест проблемного сценария на заказе","Проверить сценарий: клиент недоволен или эксперт не ответил"
"E13","Юридика / документы","Legal docs readiness","Собраны требования к Terms, Privacy, Refund, дисклеймерам и FAQ","Красный до approval","legal-docs-readiness.html","Founder/legal/payment decisions и финальный HTML-ready пакет","Готовить тексты, но не публиковать как финальные до решений"
"E14","Маркетинг / трафик","Marketing traffic handoff","Есть go/no-go условия, метрики и стоп-сигналы рекламного теста","Красный до закрытия условий","marketing-traffic-test-handoff.html","Оплачиваемый сценарий, поддержка, документы, аналитика и proof","Пока готовить каналы и креативы, деньги не включать"
"E15","Аналитика / экономика","Events и first sales economics","Есть карта событий и логика первых продаж","Красный до данных","events.html","Фактический отчет test order/source/refund/repeat/quality","Встроить события в сквозной тестовый маршрут"
