"id","criterion","weight","good","bad","critical_stop"
"Q01","Ответ на вопрос клиента","10","Отвечает именно на вопрос клиента","Общие рассуждения без ответа","no"
"Q02","Персонализация","10","Связь с ситуацией клиента","Текст подходит любому","no"
"Q03","Эмпатия и тон","10","Бережный уважительный тон","Холодный/грубый/осуждающий тон","Грубость/унижение клиента"
"Q04","Структура","10","Признание запроса, разбор, вывод, следующий шаг","Хаотично или слишком коротко","no"
"Q05","Полезность вывода","10","Клиент получает ясный смысл","Тревога не снижена","no"
"Q06","Безопасность формулировок","15","Нет гарантий и опасных советов","Слишком уверенные предсказания","Гарантия результата или опасный совет"
"Q07","Коммерческая этика","10","Мягкий follow-up без давления","Продажа через страх","Давление страхом/шантаж покупкой"
"Q08","Платформенная безопасность","10","Нет внешних контактов и оплат","Намек на личный контакт","Увод с платформы"
"Q09","Ясность языка","5","Легко читать","Туманные фразы и жаргон","no"
"Q10","SLA и формат","10","В срок и в формате текстовой консультации","Просрочка или не завершено","Сильная просрочка без эскалации"
