list,name,url,classification,pm_decision
"Не актуально","Найти программиста на подстраховку RH и сайт содержанок","https://trello.com/c/etfIeQKE","устарело/не брать в P0","Карточка находится в списке, который сам указывает на неактуальность или завершенность."
"Не актуально","Разработать главную страницу для сайта ""Содержанки""","https://trello.com/c/F3l0bty8","устарело/не брать в P0","Карточка находится в списке, который сам указывает на неактуальность или завершенность."
"Не актуально","Исправить оставшиеся баги, недоработки (Андрей. прогер)","https://trello.com/c/8c2OxsJ3","устарело/не брать в P0","Карточка находится в списке, который сам указывает на неактуальность или завершенность."
"Не актуально","Найти верстальщика","https://trello.com/c/PrSKGT6M","устарело/не брать в P0","Карточка находится в списке, который сам указывает на неактуальность или завершенность."
"Полка (Когда-нибудь)","Голосовые сообщения в чате - надо ли?","https://trello.com/c/D2xhjBmF","идея на будущее","Можно сохранить как backlog, но не мешать июньскому P0."
"Полка (Когда-нибудь)","Задать стартовую страницу сайта в соответствии с url","https://trello.com/c/tlzePEZt","идея на будущее","Можно сохранить как backlog, но не мешать июньскому P0."
"Полка (Когда-нибудь)","ТЗ по рекламным модальным окнам","https://trello.com/c/3wV1VmG8","идея на будущее","Можно сохранить как backlog, но не мешать июньскому P0."
"Полка (Когда-нибудь)","Доработать фильтр поиска под эзотерику N (после переноса)","https://trello.com/c/xDyet0Hc","идея на будущее","Можно сохранить как backlog, но не мешать июньскому P0."
"Полка (Когда-нибудь)","Страница регистрации экспертов/агентов","https://trello.com/c/PTXlxb3k","идея на будущее","Можно сохранить как backlog, но не мешать июньскому P0."
"Полка (Когда-нибудь)","Стоимость платных услуг в зависимости от регионов","https://trello.com/c/VHJDoEiO","идея на будущее","Можно сохранить как backlog, но не мешать июньскому P0."
"Полка (Когда-нибудь)","Работа с верстальщиком по H","https://trello.com/c/3OCOHJF0","идея на будущее","Можно сохранить как backlog, но не мешать июньскому P0."
"План на октябрь","Тестовое ТЗ для нового прогера","https://trello.com/c/CGZNEDnH","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"План на октябрь","Найти дизайнера","https://trello.com/c/N7vkvP1R","служебная/навигационная","Нужна как ориентир или стандарт, но не как задача запуска."
"План декабрь","функционал по конвертированию загруженных картинок в формат webp","https://trello.com/c/yeivzuZG","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"План на январь","Программист 2 для YouDate","https://trello.com/c/0jPfnI40","ресурсная/HR","Относится к ресурсам команды, не к продуктовой готовности P0."
"План на февраль","! Прогер !","https://trello.com/c/93MboXel","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"План на февраль","Составить 10 ТЗ для прогера","https://trello.com/c/bqADOOyn","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"План на июнь","проанализировать вес контент из группы Небула и составить список непонятных вещей, вопросов и тд которые далее проработаем","https://trello.com/c/LzB7e7qX","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"План на октябрь","ТЗ по городам/странам","https://trello.com/c/tnpi1k6Q","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"План на январь","Стратегия","https://trello.com/c/E59YVnJA","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"План на февраль","Чат экстра","https://trello.com/c/SC7pFtDm","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"План на Июнь","Email tempates","https://trello.com/c/e8aFOO8G","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"Codex task","Задача 1","https://trello.com/c/jYLpcaMm","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
"Codex task","P0-","https://trello.com/c/iutPrOjQ","требует внешнего контекста","По одной строке названия невозможно надежно принять решение; нужно смотреть связанные материалы или уточнять источник."
