ID;Что доказываем;Что принимается;Что не принимается;Кто дает;Кто принимает;Если принято;Если не принято;Статус сейчас
NSP01;Событие имеет уникальный event id и тип;event_id, event_type, created_at, source_class/source_id или order/session link;Скрин письма без события или строка без типа;Игорь / QA;PM;Можно связывать событие с заказом;Уведомление не принимается;красный
NSP02;Событие связано с order/session/question/answer/support;order_id, service_session_id, question_id/answer_id/support_case_id где применимо;Общий email-лог без привязки к консультации;Игорь / QA;PM;Статус виден в контексте услуги;Контрольный заказ не доказан;красный
NSP03;Получатель и роль определены;recipient_user_id/email или test recipient, role: client/expert/agent/admin/support/PM-QA;Непонятно, кому сообщение предназначено;Игорь / QA;PM;Можно проверить правильность коммуникации;Есть риск утечки или молчания;красный
NSP04;Шаблон выбран явно;template_key, version, language, subject/title, channel;Текст собран вручную или неизвестный шаблон;Игорь;PM + QA;Можно управлять текстами;Нельзя поддерживать качество сообщений;красный
NSP05;Переменные подставились корректно;order number, service, price/currency, deadline, chat link, support link, language, client/expert names where allowed;Пустые переменные, неправильный заказ/клиент, битые ссылки;Игорь / QA;PM;Сообщение можно показывать клиенту после approval;STOP для реальной отправки;красный
NSP06;No-send/suppression marker доказан;delivery_mode=test/no_send, suppressed=true, external_send=false, timestamp, environment/test marker;Обещание “мы не отправляли” без лога;Игорь / QA;PM;QA безопасен;QA STOP: риск реальной отправки;красный
NSP07;Preview доступен в админке/QA отчете;Скрин preview body/subject/channel рядом с order/session;CSV без визуального proof, raw HTML без контекста;QA;PM;Заказчик/PM понимает, что увидит клиент;Нельзя принимать текст и UX;красный
NSP08;Ошибка шаблона/переменной видима;failed/missing_template/variable_missing status, owner, retry/manual action;Молчаливое отсутствие письма;Игорь / QA;PM;Ошибки можно ловить до трафика;WARN/STOP по критичности события;желтый
NSP09;Ключевые события контрольного заказа покрыты;created, payment_test_success, question_submitted, assignment_created, answer_sent, support_case_created, support_resolved;Только регистрационное письмо или один isolated event;Игорь / QA;PM;Основной путь можно проверять;Трафик запрещен;красный
NSP10;SLA/reminder/overdue события видны;deadline_soon, overdue, escalation_needed с order/session/expert link;Просрочка обнаруживается вручную;Игорь / QA;PM;Можно управлять просрочками;WARN или STOP, если SLA критичен;желтый
NSP11;События попали в purchase/support analytics;event log связан с source/order/value/session/support_case_id/daily report fields;Логи есть, но они не используются для отчета;Игорь / QA;PM;CAC/LTV/support impact можно считать после фактов;Экономика и daily report невалидны;красный
NSP12;Реальная отправка заблокирована на всем QA маршруте;Глобальный no-send/test mode proof плюс per-event suppression marker;Один скрин настройки без проверки каждого события;Игорь / QA;PM;Можно проводить контрольный заказ;STOP: нельзя запускать QA и трафик;красный
