#;Слой проекта;Статус;Что уже есть;Что не доказано / не готово;Следующий шаг PM;Кто нужен;Proof
1;Стратегия платформы;зеленый - основа есть;Универсальная paid P2P платформа, Nebula/Oracle первая ниша, Confideline backend;Стратегия не доказывает работу сайта;Сохранять приоритет универсального функционала;PM + основатель;strategy-board.html
2;Blue Panel и управление проектом;зеленый - основа есть;Панель, мастер-план, план июня, PM-контроль, proof-inbox, светофор;Нужно обновлять после фактических результатов;После accepted proof обновлять Blue Panel и Trello-ссылку;PM;june-pm-execution-control.html
3;Trello и месячные задачи;желтый - рабочая доска;Июньский план, снимок Trello, правило не переименовывать, метка обновить;Не все карточки имеют внедренный результат;Вести Trello как задачи, Blue Panel как proof;PM;trello-current-source-snapshot.html
4;Backend Confideline и админка;желтый - база есть runtime нет;Роли, сообщения, заказы, support, email, admin-логика;Не доказан единый путь заказа;Получить runtime proof от Игоря;Игорь + PM + QA;backend-admin-readiness-map.html
5;Frontend Oracle/Nebula и дизайн;желтый - макеты есть связь не доказана;Дизайн-источники, экранные карты, контур Антона;Не доказана связь ключевых экранов с backend;Оформить screen contract по ключевым экранам;PM + Антон + Игорь;frontend-screen-backend-content-gate.html
6;Клиентский путь;красный - не доказан;Путь описан от оффера до support;Нет доказанного прохода клиента;Пройти контрольный заказ глазами клиента после READY;QA + PM;client-journey-readiness-map.html
7;Первая платная консультация / контрольный заказ;красный - главный блокер;Gate, фикстуры, QA-start, PF00-PF12;Нет safe order до ответа и support;Снять STOP по safe order, question, session, assignment, answer, no-send, support;Игорь + QA + PM;runtime-proof-master-register.html
8;Рабочее место эксперта / агента;красный - не доказано;Пакет workspace: задача, вопрос, SLA, чат, статус, качество, начисления;Не доказано, что эксперт получает и закрывает задачу;Проверить PF05-PF07 на контрольном заказе;Игорь + QA;expert-runtime-proof-register.html
9;Школа экспертов и допуск первых 5;красный - 0 из 5 доказано;Материалы, школа v1, регламент, scorecard, запрос Ксении, журнал;Нет proof по каждому эксперту;Допустить минимум одного до QA и всех 5 до трафика;PM + Ксения + эксперты + Игорь;expert-admission-proof-acceptance-board.html
10;Регламент качества экспертов;желтый - v1 есть;Правила сроков, тона, качества, продаж, запретов, эскалаций;Не проверен на пробном/реальном ответе;Связать с тестовым ответом, ревизией Ксении и QA;PM + Ксения + QA;expert-work-regulation-v1.html
11;Email уведомления события;красный - нет event proof;Карта событий, no-send acceptance, шаблоны, получатели, preview;Нет event timeline и доказательства no-send;Проверить события в no-send режиме;Игорь + QA;notification-nosend-proof-acceptance-board.html
12;Support тикеты жалобы возвраты;красный - не доказано;Support/refund пакет, failure states, acceptance board;Нет problem state, связанного с заказом;Смоделировать проблему на test order;Игорь + QA + PM;support-refund-proof-acceptance-board.html
13;Документы сайта дисклеймеры checkout;желтый - PM-пакет возможен;Структура public docs, trust, disclaimer, refund, checkout consent;Финал зависит от legal/payment/founder;Готовить HTML-ready пакет без финальной публикации;PM + основатель/legal;legal-checkout-docs-evidence-inventory.html
14;Аналитика CAC LTV экономика;желтый - модель есть данных нет;First traffic, CAC/LTV, capacity, daily report;Нет purchase analytics proof и order/value связки;После control order собрать first data marker;PM + QA + основатель;purchase-analytics-proof-acceptance-board.html
15;Маркетинг привлечение первый трафик;красный - paid traffic нельзя;Стратегия каналов, go/no-go, stop-сигналы, capacity guardrails;Нет QA PASS, capacity, legal/payment, economics;Готовить preflight без запуска рекламы;PM + основатель;first-traffic-capacity-economy-gate.html
16;Модерация видимость баны ранжирование;желтый - нужно P0-решение;Контур видимости, санкций, audit log, quality review;Нет runtime-policy proof;Зафиксировать минимальные правила и audit log;PM + admin + QA;expert-visibility-moderation-control.html
17;Языки и переводы;желтый - нужен test marker;English-first, language fields, review-risk, translation ops;Не доказан язык клиента/эксперта/ответа;Проверить language marker в test order;PM + Игорь + QA;language-translation-ops-control.html
18;QA перед запуском рекламы;красный - не стартует до READY;QA brief, capture sheet, public report shell, READY checklist;Нет PASS/WARN/STOP по сайту;Запустить тестировщика только после safe order, эксперта, no-send/support readiness;QA + PM;qa-start-readiness-checklist.html
