node,required,minimal_proof,pm_location,owner,if_missing,status
Оффер,"Услуга; срок; ограничения; цена/условия; support boundary","Screen contract: макет, текст, CTA, route","Blue Panel screen map","PM + Антон","Клиент не понимает покупку",yellow
Order,"test_run_id; order_id; no-charge marker; status","Скрин/лог admin order card","R01 acceptance sheet",Игорь,"QA не стартует",red
Question,"question_id; текст вопроса; client/session/order binding","Лог или админ-скрин вопроса","R01 + QA report","Игорь + QA","Эксперт отвечает неизвестно на что",red
Expert assignment,"E01; profile_id; task_id; deadline; SLA","Скрин workspace/assignment","R01/R02 acceptance","Игорь + Ксения/E01","Нет доказанного исполнителя",red
Answer,"answer_id; текст; timestamp; автор; статус доставки","Client/admin/expert views или лог","QA report","E01 + Игорь + QA","Услуга не оказана",red
Notifications,"event_id; template; variables; preview; external_send=false","No-send event log","CSA board + QA","Игорь + QA","Нельзя безопасно тестировать письма",red
Support,"support_case_id; reason; owner; decision; closed_at","Support case на том же order_id","CSA board + QA","Support + Игорь + QA","Нет маршрута проблем",red
Analytics,"source; session; client; order; value; currency; service; expert; support","Одна analytics row","PM evidence map","Игорь + PM","CAC/LTV невалидны",red
QA verdict,"PASS/WARN/STOP по каждому узлу paid-flow","Публичный QA report URL","QA reports / Blue Panel","QA + PM","Нельзя открывать трафик",red
Go/No-Go,"Пересчитанный светофор и решение по первому трафику","Обновленная Blue Panel + дата/основание","Для Алексея / готовность запуска","PM + founder","Трафик остается 0",red
