"id","criterion","status","owner","proof","current","pass","link"
"MVP01","Понятно, что продаем клиенту","yellow","PM + основатель","Оффер, услуга, цена, срок ответа, формат результата, дисклеймер и FAQ оформлены в одном месте.","Оффер и логика услуги описаны, но финальный checkout/legal wording еще не утвержден.","Клиент до оплаты понимает, что получит, за сколько, в какие сроки и какие ограничения у услуги.","co2p-legal-checkout-public-docs.html"
"MVP02","Безопасный тестовый заказ возможен без реального списания","red","Игорь","Order id в test/sandbox/mock режиме, сумма/валюта, подтверждение отсутствия боевого списания.","Gate показывает STOP по safe test order.","QA может пройти заказ без риска реального платежа.","test-order-readiness-gate.html"
"MVP03","Вопрос клиента связан с заказом","red","Игорь","Один order/session/question id виден клиенту, админу и исполнителю.","Путь описан, но runtime proof отсутствует.","Нельзя потерять вопрос после оплаты; админ и исполнитель видят тот же контекст.","test-order-runtime-cockpit.html"
"MVP04","Исполнитель видит задачу и может ответить","red","Игорь + QA","Скрин workspace: задача, срок, вопрос, контекст, чат/ответ, статус после ответа.","Пакет рабочего места собран, runtime proof нет.","Первый эксперт/агент может выполнить консультацию внутри системы.","expert-agent-workspace-handoff.html"
"MVP05","Админ видит заказ без ручного поиска","red","Игорь + PM","Скрины admin: order, question, consultation/session, assignment, chat, events, support.","Карты admin/backend есть, но сквозной runtime не доказан.","Админ может понять состояние заказа и следующий ответственный шаг.","backend-admin-readiness-map.html"
"MVP06","Уведомления проверены без реальной отправки","red","Игорь + QA","No-send event log: заказ, вопрос, назначение, дедлайн, ответ, support, follow-up.","Пакет событий собран, no-send log на заказе отсутствует.","Команда знает, что будет отправляться после боевого включения, не отправляя письма сейчас.","nosend-event-proof-matrix.html"
"MVP07","Support обрабатывает проблему по заказу","red","Игорь + QA + PM","Support case связан с order/session/chat/expert, имеет статус, решение и событие.","Сценарии support/refund описаны, runtime support-case отсутствует.","Просрочка или недовольство клиента не ломают операционный процесс.","support-problem-acceptance-matrix.html"
"MVP08","Первые 5 экспертов допущены к работе","red","PM + Ксения","По каждому эксперту есть тест/пробный ответ, оценка качества, SLA и решение допуска.","Школа v1 и журнал есть, реальные допуски не заполнены.","Понятно, кто из 5 экспертов готов принимать первых клиентов.","first-five-expert-admission-journal.html"
"MVP09","Регламент работы эксперта принят и применим","yellow","PM + Ксения","Регламент v1 проверен на пробном ответе и понятен исполнителю.","Регламент v1 собран, применение на реальном/пробном ответе не доказано.","Ответы экспертов можно оценивать по единому стандарту.","expert-work-regulation-v1.html"
"MVP10","Ключевые экраны связаны с backend и контентом","yellow","PM + Антон + Игорь","Offer, checkout, question, waiting/chat, answer/result, support, profile имеют экран, backend-связь, текст и QA-критерий.","Карта экранов есть, 0 зеленых paid-flow.","Фронт Nebula не является картинкой отдельно от работающей услуги.","screen-backend-content-control.html"
"MVP11","Документы и дисклеймеры готовы к показу","yellow","PM + founder/legal","HTML-ready Terms/Privacy/Disclaimer/Refund/FAQ и места показа подготовлены.","Пакет готовится, финал зависит от legal/payment/founder gate.","Клиент видит условия до оплаты и support/refund не импровизирует.","co2p-legal-checkout-public-docs.html"
"MVP12","QA дал verdict по контрольному заказу","red","QA + PM","Публичный QA report: PASS/WARN/STOP, скрины, логи, список дефектов и решение.","QA brief и report shell есть, фактического QA нет.","Можно честно принять решение: запускать тестовый трафик, запускать с замечаниями или стоп.","qa-test-order-execution-brief.html"
"MVP13","Первый трафик имеет go/no-go рамку","yellow","PM + основатель","Есть ограничения трафика, stop-сигналы, CAC/LTV поля, capacity 5 экспертов и support readiness.","Go/no-go логика есть, но QA/capacity/legal/payment proof отсутствуют.","Первый трафик запускается как контролируемый тест, а не как хаос.","co2p-marketing-first-traffic-gonogo.html"
"MVP14","Blue Panel и Trello синхронизированы","green","PM","Публичные proof-страницы, CSV, актуальный светофор, link audit 0 ошибок, результат можно вставить в Trello.","Контур работает и публикуется.","Заказчик, Алексей и команда видят одну картину состояния.","blue-panel-link-audit.html"
