check,url,status,title,length,pm_interpretation,next_action
"homepage_footer","https://confideline.com/","200","Welcome to YouDate!","47419","Главная открывается; footer содержит Terms/Privacy/Cookie links","Использовать как доказательство legacy public legal layer, но не как Nebula-ready"
"terms_footer","https://confideline.com/en/page/terms-and-conditions","200","Terms and Conditions","47341","Terms page exists, likely Confideline/YouDate legacy","Адаптировать под paid text consultation, expert/SLA/support/refund/disclaimer"
"privacy_footer","https://confideline.com/en/page/privacy-policy","200","Privacy Policy","26908","Privacy page exists, legacy layer","Проверить и адаптировать под chats, experts/agents/support, payment/email/analytics providers"
"cookie_footer","https://confideline.com/en/page/cookie-policy","200","Cookie Policy","40083","Cookie page exists","Уточнить analytics/ads stack и consent mode перед рекламой"
"short_terms","https://confideline.com/terms","404","","","Короткий стандартный URL отсутствует","Настроить явные footer/checkout links и QA"
"short_privacy","https://confideline.com/privacy","404","","","Короткий стандартный URL отсутствует","Настроить явные footer/checkout links и QA"
"short_refund","https://confideline.com/refund","404","","","Refund page не подтверждена","Создать Refund/Support path до трафика"
"short_faq","https://confideline.com/faq","404","","","FAQ page не подтверждена","Создать FAQ/trust/support blocks до трафика"
"page_terms","https://confideline.com/page/terms","404","","","Legacy короткий route отсутствует","Не использовать как proof"
"page_privacy","https://confideline.com/page/privacy","404","","","Legacy короткий route отсутствует","Не использовать как proof"
"page_refund","https://confideline.com/page/refund","404","","","Refund route отсутствует","Нужна новая страница или маршрут"
"local_backend_search","application views/controllers/admin rg terms/privacy/refund/disclaimer/cookie/faq","partial","","","Найдены expert application consent и admin refund/dispute metrics; публичные legal шаблоны не подтверждены поиском","Игорю дать route/content placement task после утверждения текстов"
