"Step","Stage","Status","ClientAction","ShouldHappen","Proven","Link","Missing","Next"
"1","Понимает оффер","Желтый","Заходит на страницу и понимает, что это платная консультация с экспертом","Видит понятный оффер, доверие, примеры, FAQ, цену/формат и честные ограничения","Есть дизайн/верстка главной и коммерческих страниц","frontend-design-readiness-map.html","Не доказано, что CTA ведет в правильный заказ и юридически корректно объясняет услугу","Собрать offer-proof по главной и одной коммерческой странице"
"2","Выбирает услугу или эксперта","Красный","Выбирает тему, категорию или конкретного эксперта","Понимает, кто отвечает, сколько стоит, что будет после оплаты","Есть блоки psychic readers/каталог в дизайне и dating-база поиска людей","backend-frontend-proof-map.html","Нет решения и proof: конкретный эксперт или очередь/категория, как назначается исполнитель","Зафиксировать модель выбора и связать с назначением консультации"
"3","Регистрируется или входит","Желтый","Создает аккаунт или входит, не теряя путь покупки","После входа возвращается к выбранной услуге/заказу","Есть login/signup/forgot страницы в публичной верстке и Confideline auth-база","frontend-design-readiness-map.html","Не доказан возврат к покупке после регистрации/входа","Проверить guest → signup/login → continue order"
"4","Создает тестовый заказ","Красный","Нажимает купить/получить консультацию","Создается test order без реального списания, виден статус и следующий шаг","Есть PM/handoff-пакет тестового заказа","igor-test-order-consultation-handoff.html","Нет runtime proof заказа в текущем сайте","Игорю: реализовать/подтвердить test order без реального платежа"
"5","Задает вопрос","Красный","Пишет вопрос после заказа","Вопрос привязан к заказу и консультации, не теряется отдельно в чате","Сценарий описан в paid consultation flow","paid-consultation-test-flow.html","Не доказана связь order → question → consultation","Добавить вопрос в test order и показать его в админке"
"6","Ждет назначения и ответа","Красный","Понимает, кто и когда ответит","Система назначает эксперта/агента, показывает срок, статус и уведомляет клиента","Есть рабочие пакеты expert workspace и email/events","expert-agent-workspace-handoff.html","Не доказаны роли, назначение, дедлайн и уведомление на реальном тестовом маршруте","Проверить assignment и SLA на test order"
"7","Получает ответ в чате/кабинете","Красный","Открывает ответ, видит консультацию и может продолжить/закрыть","Ответ связан с заказом, экспертом, временем, качеством и статусом закрытия","Есть messaging QA и admin chat workspace, но не в Nebula paid lifecycle","backend-admin-readiness-map.html","Нет proof client/expert/admin sides в одном маршруте","Снять скрины клиента, эксперта и админа на одной консультации"
"8","Получает уведомления","Желтый","Получает письма/уведомления о заказе, вопросе, ответе, проблеме","Все сообщения логируются в no-send режиме до боевого запуска","Есть email handoff и web-контур email admin upload","email-notifications-handoff.html","Нет no-send proof в полном маршруте платной консультации","Привязать события к test order и проверить журнал no-send"
"9","Обращается в поддержку","Красный","Если эксперт не ответил или ответ плохой, клиент создает проблему","Тикет связан с заказом, чатом, исполнителем, решением и уведомлением","Есть support/refund handoff","support-refund-handoff.html","Нет runtime proof проблемного сценария","Проверить сценарий “эксперт не ответил” и “клиент недоволен”"
"10","Понимает правила и ограничения","Красный","До/после оплаты видит Terms, Privacy, Refund, disclaimer, FAQ","Правила честно объясняют развлекательный/эзотерический характер услуги и возвраты","Есть legal readiness и публичные FAQ/Privacy страницы","legal-docs-readiness.html","Нет финального approval и HTML-ready публикации","Подготовить пакет к согласованию, не публиковать как финальный до legal/payment decisions"
"11","Возвращается повторно","Желтый","Получает причину вернуться: новый вопрос, follow-up, письмо, новый эксперт","Сервис фиксирует repeat, источник, качество, refund и LTV","Есть first-sales economics и events map","first-sales-economics.html","Нет фактических данных и repeat-механики после первой консультации","После test order добавить repeat/follow-up сценарий и метрики"
"12","Попадает в аналитику запуска","Красный","Не видит аналитику, но его путь должен быть измерим","Отчет показывает источник, заказ, вопрос, ответ, жалобу, начисление, итог","События описаны","events.html","Нет фактического отчета по одному сквозному маршруту","Собрать запусковый отчет после первого test order"
