id;карточка;зона;статус;решение;доказательство;следующий шаг;trello
"J02-01";"ТЗ аналитика на Дашборде";"Админка / аналитика";"P0-частично";"Взять не весь дашборд, а минимальную управленческую панель запуска: заказы, чаты, SLA, платежи, support, возвраты, загрузка экспертов.";"В карточке есть публичный mockup dashboard analytics и метки На согласование/ТЗ Игорю.";"Связать с P0-реестром админки и acceptance criteria JUN-08.";"https://trello.com/c/whZiCsxv"
"J02-02";"Статистика / аналитика";"Админка / аналитика";"Объединить";"Не вести отдельно от dashboard analytics. Это один контур: операционная видимость админа.";"Карточка тонкая, но есть HTML-вложение analitica-confideline-1.html.";"Слить требования в общий блок аналитики админки.";"https://trello.com/c/hFPIK4R5"
"J02-03";"Макеты для почтовых рассылок";"Email / уведомления";"P0";"Включить в JUN-03 как обязательный контур коммуникаций до трафика: шаблоны, события, переменные, предпросмотр, тестовая отправка.";"В карточке есть Google Drive/Sheet материалы и метки На согласование/ТЗ Игорю.";"Оформить как часть co2p-пакета email и уведомлений.";"https://trello.com/c/RX4P6jw5"
"J02-04";"ТЗ по техподдержке на сайте";"Support / refund / admin ops";"P0";"Support нужен до покупки трафика. Минимум: очередь тикетов, статусы, ответственный, приоритет, история, шаблоны ответов, связь с платежом/чатом/жалобой.";"В комментариях Trello описан полноценный ticket flow: очередь, статусы, страница тикета, кнопки ответа, шаблоны, быстрый контекст.";"Сделать отдельный co2p-пакет support/refund/failure states.";"https://trello.com/c/IRQiN429"
"J02-05";"Переводчик в чате";"Чат / мультиязычность";"P0 при мультиязычном запуске";"Для старта брать ручной/полуавтоматический перевод в чате. Автоперевод и провайдеры оставить как расширение после проверки экономики.";"В комментариях зафиксирована логика ручного перевода и сравнение DeepL/Amazon/Google; есть публичная ссылка translator-spec.";"Встроить в P0 chat/failure states как языковой сценарий.";"https://trello.com/c/5cU9gpqd"
"J02-06";"Ограничение отправки контактов в чате";"Модерация / защита выручки";"P0";"Обязательный защитный механизм платформы: маскировка контактов, предупреждение, журнал нарушений, настройки санкций, видимость модератору.";"В карточке детально описаны email/phone/url/@username/messenger/masked contacts, предупреждение, лог, санкции и настройки.";"Внести в реестр админки и P0 QA как сценарий защиты от вывода общения мимо платформы.";"https://trello.com/c/LYz7x7QS"
"J02-07";"Отзывы и рейтинг специалистов";"Доверие / ранжирование экспертов";"P1 + P0-min";"Полный модуль отзывов не блокирует старт. P0-min: ручное доверие/вывод экспертов/соцдоказательства. Автоматические отзывы после завершенной консультации — P1.";"В комментариях есть правила: отзыв только после консультации, 1 консультация = 1 отзыв, модерация, средний рейтинг.";"Оставить в backlog до закрытия paid chat/support/payment lifecycle.";"https://trello.com/c/GVvW2vR6"
"J02-08";"Управление email-рассылкой из админки";"Email / CRM";"P0";"Объединить с макетами email. Нужна админская работа с шаблонами/событиями/переменными без реальных отправок на этапе ТЗ.";"В карточке есть Google Sheet по email и связанная карточка Email рассылка сервиса Nebula.";"Закрывать через JUN-03 как единый email/admin пакет.";"https://trello.com/c/tHaAg57o"
"J02-09";"Страница Города";"SEO / geo content";"Backlog";"Не P0 для запуска 5 экспертов. Нужна после базового paid flow как SEO/geo-growth слой.";"Карточка зависит от концепции стран/городов, находится в фоновых задачах.";"Перенести в growth/backlog Blue panel, не грузить июньский P0.";"https://trello.com/c/CxEVl1q3"
"J02-10";"Переделать диалоговые окна";"UX / системные состояния";"P0 subset";"Не делать все модалки сразу. В P0 взять только критические состояния: checkout, success/fail payment, support/refund, contact warning, chat error, review prompt.";"В карточке много скринов и комментарий, что это front not backend; задача широкая и требует сужения.";"Сформировать список P0-модалок в JUN-08 failure states.";"https://trello.com/c/PiXjxgGt"
