"N","Source","Status","UsedFor","Decision","Action","Gap","Link"
"1","Trello: Стратегия, 17 карточек","Желтый","Стратегическая доска PM S0-S11","Строим универсальную paid P2P-платформу, Nebula/Oracle — первая ниша, трафик только после runtime proof","Связать стратегию с июньским планом и контрольным заказом","Trello не доказывает внедрение и может содержать устаревшие/тонкие карточки","trello-current-source-snapshot.html"
"2","Trello: План на Июнь","Желтый","План месяца, задачи для Заказчика, co2p handoff","Не переименовывать без команды, постановку не перетирать результатом, результат давать ссылкой на Blue Panel","После фактического результата обновлять карточку proof-ссылкой","Часть задач — PM-пакеты, а не внедренные функции","trello-current-source-snapshot.html"
"3","Google Docs/Sheets: рынок, конкуренты, ранняя стратегия","Желтый","Рынок, аудитория, УТП, маркетинг, trust layer","Оффер строить вокруг платной текстовой консультации, доверия, ответа эксперта и follow-up","Внести выводы в landing/FAQ/email/первый traffic go-no-go","Не доказывает CAC/LTV, conversion и retention без рекламного теста","google-strategy-sources.html"
"4","AskNebula/PbExpert/Ksenia materials","Желтый","Школа экспертов, регламент, критерии ответа","PM сам делает методологию, Ксения — ревизор понятности и практики","Заполнить admission journal по 5 экспертам, собрать пробные ответы","Нет фактического допуска 5 экспертов","expert-training-source-extraction.html"
"5","Confideline backend/admin/code evidence","Желтый","Backend readiness, admin visibility, runtime handoff Игорю","Готовая dating-база используется как универсальный backend, но нужна связка paid consultation","Принять от Игоря AC01-AC09 по безопасному test order","Нет runtime proof order→question→session→assignment→answer→support→events","backend-admin-function-evidence-inventory.html"
"6","Oracle/Nebula design/Figma/local manifest","Желтый","Frontend screen contracts, работа Антона, screen/backend/content map","Оценивать каждый экран по 3 слоям: макет, backend-функция, контент/error states","Закрыть paid-flow экраны: offer, checkout, question, answer, support, FAQ","Не все экраны подтверждены как сверстанные и связанные с backend","oracle-nebula-design-source-coverage.html"
"7","Admin chat workspace v2 published contour","Желтый","Рабочее место эксперта/агента, чат в админке, пакет Игорю","Веб-контур можно использовать как согласованный визуальный handoff, но не как runtime proof","Связать workspace с test order/session/assignment/answer","Нет проверки на рабочем заказе","expert-agent-workspace-handoff.html"
"8","Email/templates/no-send prior work","Желтый","Уведомления, события, безопасная проверка без отправки","Email/уведомления — P0, а не второстепенная часть","Проверить no-send event log на test order","Нет фактического журнала событий по контрольному заказу","notification-event-nosend-gate.html"
"9","Legal/docs/checkout research","Желтый","Terms, Privacy, disclaimer, refund, checkout disclosure","Готовить HTML-ready пакет, но финал держать за founder/legal/payment gate","Держать список решений seller/provider/descriptor/refund/geography","Нет финального юридического продавца, провайдера, descriptor, refund path","legal-checkout-docs-evidence-inventory.html"
"10","QA reports contour and existing QA panel","Желтый","Pre-traffic QA, public report format, runtime proof","QA меняет светофор только после PASS/WARN/STOP по одному полному заказу","Запустить QA после READY от Игоря и допуска исполнителя","Нет QA-отчета по текущему control order","qa-test-order-execution-brief.html"
"11","Marketing/competitor/organic trust sources","Желтый","Traffic go/no-go, CAC/LTV, trust, PR/UGC, авторитетные площадки","Маркетинг готовим заранее, paid traffic запрещен до runtime/capacity/legal gates","Подготовить офферы, метрики, stop-сигналы и organic/trust контур","Нет первого рекламного теста и фактической экономики","marketing-launch-evidence-inventory.html"
"12","Blue Panel / PM knowledge artifacts","Зеленый","Master plan, readiness, proof rules, handoff, external proof intake","Blue Panel — cockpit решений и proof, а не склад мыслей","Поддерживать и публиковать каждый завершенный результат","Не заменяет runtime/external facts","pm-evidence-trust-standard.html"
"13","Runtime test order facts","Красный","Фактическая готовность MVP и запусковый go/no-go","Без полного контрольного заказа запуск остается красным","Получить order_id/session_id/workspace/event log/support, допуск исполнителя и QA report","Фактов сейчас 0","runtime-proof-master-register.html"
"14","External proof intake","Зеленый","Правила приема результата от Игоря, QA, Ксении, Антона, founder","Если proof не соответствует формату, светофор не меняется","Принимать внешние факты через единый реестр","Правило есть, факты еще должны прийти","external-proof-intake-register.html"
