ID;Блок;Что должно быть готово;Proof;Статус сейчас;Следующий шаг;Почему важно
MR01;Первый оффер;Цена, формат, срок ответа, состав результата, CTA, FAQ, ограничения;Offer pack + LP/checkout/email consistency;Желтый - готовить;Собрать один основной starter offer;Без понятного оффера реклама даст грязную конверсию
MR02;Checkout trust;Terms, Privacy, Disclaimer, Refund review, consent, descriptor placeholder;HTML-ready public docs pack;Желтый - ждет legal/payment decisions;Подготовить тексты, но не утверждать legal;Клиент должен понимать условия до оплаты
MR03;QA заказа;Safe order прошел: заказ, вопрос, эксперт, ответ, support, no-send, отчет;QA PASS/WARN/STOP;Красный - нет proof;Ждать runtime proof Игоря и QA;Реклама не должна тестировать поломанный процесс
MR04;Capacity 5 экспертов;Кто работает, языки, сколько заказов в день, SLA, backup;E01-E05 admission + capacity table;Красный - 0/5 proof;Довести допуск экспертов и дневные лимиты;Иначе трафик создаст просрочки и жалобы
MR05;Purchase analytics;Source/UTM, order id, value, currency, service, expert, support outcome;Purchase event на safe order;Красный - нет proof;Снять event log и строку аналитики;CAC/LTV нельзя считать без связки фактов
MR06;Email service;Order, question reminder, assignment, answer ready, support status;No-send event log + preview;Красный - нет runtime proof;Проверить no-send на safe order;Без писем клиент не понимает статус услуги
MR07;Email retention;Follow-up после ответа, next question, educational drip, consent/отписка;Шаблоны + no-send + consent model;Желтый - шаблоны есть, proof нет;Разделить service и marketing письма;Повторная покупка — ядро LTV
MR08;Organic/PR/UGC;Темы, площадки, brief, disclosure, no fake reviews, proof archive;Whitelist + approved drafts без публикации;Желтый - контур есть;Собрать shortlist площадок и 3 draft страницы;Доверие снижает стоимость первого контакта
MR09;Ad policy preflight;Креативы без exact predictions, guarantees, fear pressure, sensitive personal claims;Creative checklist + source links;Желтый - правила собраны;Проверять каждый креатив до запуска;Policy reject и жалобы ломают тест
MR10;Daily traffic report;Spend, sessions, checkout, orders, CAC, SLA, complaints, refund risk, repeat;Daily report template + first day facts later;Желтый - шаблон есть;Использовать только после QA/order/support gates;PM должен остановить тест по фактам
