Слой;Статус;Кратко;Источник;Что еще нужно;Следующий владелец
"Стратегия платформы";"зеленый";"Закрыто PM-контуром";"strategy-decision-proof-map-2026-06-06.html";"Нужно поддерживать актуальность после новых решений Заказчика.";"PM"
"Мастер-план запуска";"зеленый";"Закрыто PM-контуром";"mvp-launch-readiness-backlog-2026-06-06.html";"План должен пересчитываться после accepted/returned proof.";"PM"
"Blue Panel как центр управления";"зеленый";"Закрыто PM-контуром";"index.html";"Нужно дальше убирать шум и держать stakeholder-first подачу.";"PM"
"Trello как рабочая доска месяца";"желтый";"Частично покрыто";"june-plan.html";"Нужна регулярная синхронизация карточек, комментариев, вложений и статусов без переименований.";"PM"
"Backend Confideline";"красный";"Не доказано runtime-фактом";"admin-operations-capture-sheet-2026-06-06.html";"Нужен order_id/test_run_id и сквозной путь: заказ, вопрос, назначение, ответ, события, support.";"Игорь"
"Фронт Oracle/Nebula и дизайн";"желтый";"Частично покрыто";"screen-contract-capture-sheet-2026-06-06.html";"Нужно связать конкретные live/верстаемые экраны с backend и текстами, затем проверить.";"Антон + Игорь + PM"
"Страницы, контент и backend-связь";"желтый";"Частично покрыто";"page-content-backend-readiness-map-2026-06-06.html";"Большая часть сценариев красная до runtime proof и финальных текстов.";"PM + Игорь"
"Юридические документы и checkout trust";"желтый";"Подготовка есть, утверждения нет";"public-docs-checkout-capture-sheet-2026-06-06.html";"Нельзя утверждать seller/provider/descriptor/refund/geography без founder/legal/payment decisions.";"Founder + PM"
"Обучение экспертов";"желтый";"База есть, admission не доказан";"expert-launch-admission-control-2026-06-06.html";"Нужны принятые proof по E01-E05: пробный ответ, SLA, анкета, доступ, verdict.";"PM + Ксения"
"Допуск экспертов к запуску";"красный";"Не доказано";"first-five-expert-admission-capture-sheet-2026-06-06.html";"Сейчас 0 из 5 экспертов допущены proof-фактами.";"PM + Ксения"
"Путь клиента после оффера";"красный";"Не доказано runtime-фактом";"prelaunch-qa-capture-sheet-2026-06-06.html";"Нужен контрольный заказ от входа до ответа и support/failure states.";"Игорь + QA"
"Админка и видимость операции";"красный";"Не доказано runtime-фактом";"admin-operations-capture-sheet-2026-06-06.html";"Нет proof, что админ видит весь путь без ручного поиска.";"Игорь + QA"
"Email, уведомления и no-send";"красный";"Не доказано runtime-фактом";"nosend-control-order-capture-sheet-2026-06-06.html";"Нет event_id/preview/external_send=false proof на safe order.";"Игорь + QA"
"Support, жалобы и problem states";"красный";"Не доказано runtime-фактом";"support-problem-control-order-capture-sheet-2026-06-06.html";"Нет support_case_id, владельца решения и закрытия кейса.";"Support + QA"
"QA перед трафиком";"красный";"Нельзя стартовать до READY";"prelaunch-qa-capture-sheet-2026-06-06.html";"Нужен опубликованный QA report PASS/WARN/STOP.";"QA + PM"
"Маркетинг, трафик, CAC/LTV";"красный";"Трафик запрещен";"first-traffic-economy-launch-gate-2026-06-06.html";"Нет purchase analytics proof, capacity 5 экспертов, QA verdict и docs/payment approval.";"PM + Founder"
"Источник правды и внешние материалы";"желтый";"Частично покрыто";"pm-source-coverage-current-2026-06-06.html";"Остаются возможные закрытые Google/Figma/Trello-вложения и необходимость semantic re-scan при новых правках.";"PM"
