id,code,old,new,url
6a1ea402a7625c4e59fead6d,JUN-01,JUN-01 — Рабочий PM-контур Blue panel и Codex,Рабочий PM-контур Blue panel и Codex,https://trello.com/c/gJnFd2wT
69fb210fb346711b4d130945,JUN-02,JUN-02 — Реестр готовности связанных ТЗ и макетов,Реестр готовности связанных ТЗ и макетов,https://trello.com/c/awgleR9M
6a1ea6a0427d2b2ce4c3e998,JUN-03,JUN-03 — Карта email-уведомлений и рассылок P0,Карта email-уведомлений и рассылок P0,https://trello.com/c/e8aFOO8G
6a031ee24db813bbb6f993c9,JUN-04,JUN-04 — Регламент работы экспертов и агентов,Регламент работы экспертов и агентов,https://trello.com/c/oZYN15XV
69fb22eef84a6fd4f8fd3c37,JUN-05,JUN-05 — Модель работы с агентами и оплатой,Модель работы с агентами и оплатой,https://trello.com/c/bNsEmcDz
6a216575ae45e5b874ffc984,JUN-06,JUN-06 — Школа экспертов v1 для первых 5 экспертов,Школа экспертов v1 для первых 5 экспертов,https://trello.com/c/36nRKvdb
6a21657ba589c5b9c3a3f8d9,JUN-07,JUN-07 — Пакет рабочего места эксперта и агента в админке,Пакет рабочего места эксперта и агента в админке,https://trello.com/c/bRjDaHwL
6a216583a2bdb18a3e6f56c8,JUN-08,"Проверка страниц, функций и проблемных ситуаций перед запуском рекламы","Проверка страниц, функций и проблемных сценариев перед запуском рекламы",https://trello.com/c/A4zqo2EI


