"Owner";"Priority";"Task";"Status";"Why";"Deliverable";"Proof";"Blocker";"Acceptance"
"Игорь";"P0";"Слой платной услуги service_session";"Готово к передаче";"Без этой связки нельзя доказать покупку консультации и запускать рекламу.";"Backend-сущность service_session, статусы, очереди, события, связь с order/question/chat/support.";"consultation-domain-layer-tz.html";"Нужно подтвердить актуальный runtime source и внедрить в test/local.";"Fake success создает order + service_session; cancel/fail не создают оплаченную услугу; админ видит очередь."
"Игорь";"P0";"Рабочее место эксперта и агента";"Готово к передаче после service_session";"5 экспертов не смогут работать управляемо без задач, сроков, чата, качества и начислений.";"Админские роли/вкладки: задачи, чат, SLA, качество, начисления, события.";"expert-agent-workspace-handoff.html";"Зависит от service_session и тестового заказа.";"Эксперт/агент видит назначенную консультацию, вопрос, срок, чат и статус начисления."
"Игорь";"P0";"Email/уведомления в no-send режиме";"Готово к передаче";"Клиент, эксперт, агент, админ и support должны понимать статус заказа без ручных объяснений.";"События, шаблоны, переменные, получатели, no-send журнал.";"email-notifications-handoff.html";"Нужна связь с event log test order/service_session.";"По тестовой услуге видны no-send события без реальной отправки писем."
"Игорь";"P0";"Support/refund связка с заказом";"Готово как направление, требует runtime-связки";"Первые продажи без жалоб/возвратов/support опасны для доверия и денег.";"Тикет связан с клиентом, order, service_session, чатом, причиной, решением, refund status.";"support-refund-handoff.html";"Зависит от service_session и order problem states.";"Из тестового заказа можно открыть support/refund case и увидеть решение."
"Игорь";"P1";"Начисления эксперту/агенту";"PM-пакет готов, нужны решения основателя";"Исполнители должны видеть начисления, а админ — причины удержаний/бонусов.";"Статусы начислений, условия качества, удержания, бонусы, тестовая видимость.";"expert-agent-compensation-handoff.html";"Ставки, валюта, период выплат и legal-статус исполнителей.";"На тестовой консультации видно начисление/удержание/статус без реальной выплаты."
"Антон";"P0";"P0 правки платной воронки Oracle/Nebula";"Готово к передаче";"Дизайн должен вести к покупке консультации, а не быть красивой витриной без услуги.";"matching → offer → payment → fallback → paid chat.";"anton-oracle-nebula-design-fixes.html";"Нужно согласование с Заказчиком.";"Антон возвращает обновленные экраны/состояния по P0, после чего PM сверяет screen contract."
"Ксения";"P0";"Ревизия регламента и школы экспертов";"Готово к передаче";"Первые 5 экспертов должны понять правила без устных пояснений.";"Замечания к регламенту, школе, журналу допуска и тестовый ответ по кейсу.";"ksenia-expert-school-review-task.html";"Нужен фактический ответ Ксении.";"Ксения дает конкретные замечания, оценку понятности, тестовый ответ и вердикт."
"PM / Алексей";"P0";"Журнал допуска первых 5 экспертов";"Структура готова, данные не заполнены";"Нельзя запускать 5 экспертов без доказанного допуска по каждому человеку.";"Заполненный журнал: уроки, тест, практика, замечания, решение PM.";"first-five-expert-admission-journal.html";"Нужны реальные имена/профили 5 экспертов и прохождение.";"По каждому эксперту стоит допущен/доработка/не допущен с причиной."
"QA / тестировщик";"P0";"Сквозной test order без реальных денег";"Ожидает внедрения Игоря";"Это главный proof перед рекламой.";"QA-отчет: оффер, заказ, вопрос, service_session, эксперт, ответ, support, события.";"test-order-runtime-proof-plan.html";"Нет внедренного service_session runtime.";"Публичный QA-отчет со скринами и PASS/FAIL по всем шагам."
"Основатель";"P1";"Решения по ставкам и выплатам";"Нужно решение";"Без ставок нельзя закрыть экономику исполнителей и начисления.";"Ставки, валюта, период выплат, правила удержаний/бонусов.";"expert-agent-compensation.html";"Founder decision.";"Решения внесены в compensation handoff и задачу Игорю."
"Основатель / legal/payment";"P1";"Legal/payment approval gate";"Отложено до документов фирмы, но учесть как gate";"Нельзя публиковать финальные LP/checkout без продавца услуги, provider, descriptor и refund path.";"Legal seller, payment provider, descriptor, refund path, geography.";"legal-docs-readiness.html";"Документы фирмы/payment decisions.";"Gate закрыт перед production checkout."
