Блок;Что должно быть;Зачем нужно;Критерий приемки;Статус
Клиент;Профиль, email, язык, страна, история обращений;Понять кому отвечаем и на каком языке;Поддержка открывает клиента из обращения;нужно подтвердить
Заказ и оплата;Номер заказа, услуга, цена, валюта, статус оплаты, тест/реал, дата;Разобрать оплатил но не получил;Из обращения открывается заказ и платежный статус;обязательно
Вопрос и консультация;Тема, текст вопроса, статус, срок ответа, исполнитель;Понять где услуга зависла;Видна связка заказ-вопрос-консультация;обязательно
Чат;Сообщения, время отправки, статус доставки, вложения;Оценить качество ответа и технические сбои;Чат открывается из обращения;обязательно
Email и уведомления;Сформировано, отправлено, ошибка, шаблон, получатель;Понять почему клиент не получил статус;Есть журнал сообщений;обязательно
Исполнитель;Эксперт/агент, дедлайн, просрочки, замечания;Связать проблему с качеством и начислениями;Видна ответственность и история;обязательно
Решение;Тип решения, причина, комментарий, автор, дата;Не принимать хаотичные решения;Нельзя закрыть без решения и причины;обязательно
История действий;Статусы, комментарии, эскалации, письма, ручные действия;Защитить команду и сервис от споров;Админ видит полный журнал;обязательно
Оплата без консультации;Платеж есть, консультация не создана;Ловить критический сбой услуги;Проблема видна поддержке;блокер рекламы
Просрочка эксперта;Дедлайн нарушен;Снизить риск жалоб и возвратов;Админ и поддержка видят просрочку;блокер рекламы
Плохой ответ;Жалоба на качество;Управлять качеством экспертов;Модератор видит ответ и критерий;блокер рекламы
Запрос возврата;Клиент хочет refund/credit;Фиксировать причину и решение;Решение есть без реальных денег на тесте;legal/payment gate позже
