"Layer","Status","Proven","Missing","Next","Owner","CanPM","Proof"
"Стратегия и мастер-план","зеленый","Зафиксирована логика: сначала универсальная paid P2P-платформа, Nebula как первая ниша; есть короткий мастер-план и план июня.","Стратегия не доказывает работу сайта и первые продажи.","Поддерживать связь стратегия -> мастер-план -> июнь -> proof.","PM","да","alexey-master-plan.html"
"Blue Panel и PM-контроль","зеленый","Есть публичная панель, светофор, чек-лист запуска, proof-control, link-health, автономная очередь PM.","Нужна постоянная актуализация после фактов команды.","После каждого результата обновлять конкретную proof-страницу и ссылку результата.","PM","да","pm-objective-live-requirements-audit.html"
"Trello и месячное управление","желтый","Есть понимание регламента Trello: заголовки не трогаем без команды, результат через ссылку Blue Panel, статус через метки/чек-листы.","Не все карточки имеют подтвержденный результат, weekly update и proof-ссылку.","Вести Trello как план месяца, но не считать Trello proof внедрения.","PM","частично","trello-june-fact-status.html"
"Backend Confideline и админка","красный","Есть карта backend/admin gates и запрос R01 по безопасному заказу.","Нет доказанного order_id -> question -> session -> assignment -> answer -> admin timeline -> support/events.","Получить R01 от Игоря и принять его только по фактам.","Игорь + PM","нет","backend-admin-safe-order-execution-board-2026-06-06.html"
"Frontend и дизайн Oracle/Nebula","желтый","Есть дизайн-источники и принцип экран -> backend -> контент -> failure states -> QA.","Нет полного proof, что ключевые экраны сверстаны и связаны с backend.","Разбирать критичные экраны paid-flow и делать screen contracts.","Антон + Игорь + PM","частично","frontend-screen-backend-content-gate.html"
"Клиентский платный путь","красный","Путь описан: оффер, выбор, оплата/заказ, вопрос, ожидание, ответ, follow-up, support.","Нет прохода реальным тестом на рабочем сайте.","Провести безопасный контрольный заказ после READY.","Игорь + QA + PM","нет","client-journey-readiness-map.html"
"Админская видимость и операционка","красный","Описано, что админ должен видеть: заказ, клиента, эксперта, SLA, события, support, возврат, качество.","Нет скриншотов/логов по одному заказу.","Проверить admin route в рамках R01/QA.","Игорь + QA","нет","admin-operational-visibility-proof-contract-2026-06-06.html"
"Школа и регламент экспертов","желтый","Материалы обучения, школа v1, регламент и контур ревизии Ксении собраны.","Нет принятого прохождения экспертами и финальной ревизии.","Довести пакет до приемки и запустить допуск E01.","PM + Ксения","частично","expert-training-admission-evidence-inventory.html"
"Допуск первых 5 экспертов","красный","Есть журнал допуска и условия EP01-EP10.","0 из 5 экспертов accepted proof-фактами.","E01 нужен до QA; E01-E05 нужны до первого трафика.","PM + Ксения + эксперты","нет","first-five-expert-admission-execution-pack.html"
"Рабочее место эксперта/агента","красный","Собран handoff по задаче, вопросу, SLA, чату, ответу, начислениям и качеству.","Не доказано назначение и закрытие задачи в runtime-заказе.","Проверить assignment и answer delivery на safe order.","Игорь + QA","нет","expert-runtime-proof-register.html"
"Email, уведомления и события","красный","Есть no-send gate и список обязательных событий.","Нет no-send event log на одном order_id.","Проверить события без реальной отправки писем.","Игорь + QA","нет","notification-event-nosend-gate.html"
"Support и проблемные ситуации","красный","Описаны failure states: просрочка, плохой ответ, жалоба, refund review, retry/credit, зависание.","Нет support_case_id, owner, decision и closure proof.","Включить один problem state в контрольный заказ.","Support + QA + PM","нет","support-failure-state-gate.html"
"Документы сайта и checkout-тексты","желтый","PM может готовить HTML-ready пакет: Terms, Privacy, Disclaimer, Refund, FAQ, checkout consent.","Финал зависит от seller/provider/descriptor/refund/geography/legal approval.","Готовить пакет без публикации до founder/legal/payment gate.","PM + founder/legal","частично","public-docs-checkout-execution-board-2026-06-06.html"
"Маркетинг, привлечение и LTV","красный","Есть preflight, stop-сигналы, CAC/LTV логика и запрет трафика до QA.","Нет QA PASS, capacity 5 экспертов, purchase analytics и фактической экономики.","Готовить материалы, paid traffic budget = 0 до proof.","PM + founder","частично","first-traffic-capacity-economy-gate.html"
"Аналитика покупки и ежедневный контроль","красный","Есть шаблоны daily report и capture sheets.","Нет source/session/order/value/currency/service/support связки на реальном заказе.","Привязать аналитику к safe order и первому тесту.","PM + QA + Игорь","нет","purchase-analytics-control-order-capture-sheet-2026-06-06.html"
"QA перед рекламой","красный","Есть QA runbook, QA contract и публичный report shell.","Нет PASS/WARN/STOP по рабочему сайту.","Старт QA только после accepted R01/R02.","QA + PM","нет","prelaunch-qa-proof-contract-2026-06-06.html"
"Решения владельца и запуск","желтый","Список решений и блокеров зафиксирован: legal seller, payment provider, descriptor, refund path, launch geography.","Решения не утверждены; PM не должен утверждать их сам.","Готовить decision pack, но не закрывать без владельца.","founder + legal/payment","частично","launch-blocker-owner-register-2026-06-06.html"
