id,source,status,trust,covers,missing,next,proof
SRC01,Blue Panel / локальная база PM,green,высокая для текущих PM-решений,"Мастер-план, июнь, readiness, proof ledger, матрица цели, контур proof, автономная работа PM.",Не заменяет runtime proof сайта и не доказывает внедрение функций.,Поддерживать как слой принятия решений и синхронизировать после каждого факта.,index.html; pm-current-state-proof-ledger.html; pm-objective-requirements-matrix.html
SRC02,Confideline backend / admin,yellow,средняя до runtime QA,"Принят как backend/admin база: заказы, роли, чат, email-события, support/admin readiness.",Нет одного сквозного заказа с order/session/question/assignment/event/support proof.,Снять runtime proof через контрольный заказ по AC01-AC09.,backend-admin-readiness-map.html; backend-admin-runtime-gap-matrix.html; igor-test-order-acceptance-contract.html
SRC03,Oracle/Nebula frontend и дизайн-макеты,yellow,средняя,"Понимание, что Oracle/Nebula — фронт поверх Confideline; есть экранная карта и сценарии.","Не все Figma/PNG/верстка сверены с backend, контентом, пустыми состояниями и QA.","Двигаться по экранным контрактам: offer, checkout, question, chat, result, support, profile.",screen-backend-content-control.html; oracle-nebula-mvp-screen-readiness-map.html; anton-oracle-nebula-design-fixes.html
SRC04,Trello / План на июнь,yellow,"высокая для названий и постановок, средняя для фактической готовности","Текущие карточки июня, ссылки, результаты, связанные proof-страницы.",Не каждая карточка равна внедренной функции; часть статусов требует runtime/QA.,"Не менять названия, после результата добавлять Blue Panel proof-ссылку.",june-plan.html; trello-june-fact-status.html; june-card-fact-readiness.html
SRC05,Trello / Стратегия и архивы,yellow,средняя,"Стратегическая логика: платформа сначала, Nebula как первая ниша, конкуренты, обучение, документы.",Не все вложения Google/Figma распознаны по содержанию; часть карточек тонкая/placeholder.,В следующем Trello-проходе классифицировать тонкие карточки и закрытые вложения.,strategy-board.html; strategy-june-execution-map.html
SRC06,Материалы обучения AskNebula/PbExpert,yellow,средняя-высокая для учебной основы,"Уроки 1-7, формы, реестр материалов, школа v1, регламент, задача Ксении.",Нет ревизии Ксении и доказанного допуска первых 5 экспертов.,Собрать ответы/тесты экспертов и заполнить журнал допуска.,expert-training-materials-register.html; expert-school-v1-operational-pack.html; ksenia-expert-school-review-task.html; first-five-expert-admission-journal.html
SRC07,QA reports / опубликованные проверки,yellow,высокая для уже опубликованных QA-страниц,Есть существующий публичный QA-контур и шаблоны runtime QA.,Нет нового QA PASS/WARN/STOP по контрольному заказу Nebula.,Запустить QA только после READY gate и опубликовать report.,qa-test-order-execution-brief.html; test-order-runtime-public-report-shell.html; blue-panel-link-audit.html
SRC08,Email/notification пакеты,yellow,средняя,"События, получатели, шаблоны, preview/no-send подход, suppression, ошибки.",Нет no-send event log на одном тестовом заказе.,Снять no-send proof во время контрольного заказа.,events-notifications-launch-control.html; nosend-event-proof-matrix.html; email-notifications-handoff.html
SRC09,Legal/public docs контур,yellow,средняя до founder/legal/payment решений,Структура Terms/Policy/Disclaimer/Refund/FAQ/checkout wording и места показа.,"Финал зависит от юрлица, provider, descriptor, refund window, geography.","Готовить HTML-ready пакет, но не публиковать финал.",legal-docs-readiness.html; legal-content-package.html; co2p-legal-checkout-public-docs.html
SRC10,Support/refund/problem states,yellow,средняя,"Сценарии просрочки, плохого ответа, жалобы, refund review и support acceptance.","Нет runtime support-case, связанного с тестовым заказом.",Смоделировать один problem state на контрольном заказе.,support-refund-launch-control.html; support-problem-acceptance-matrix.html
SRC11,Marketing / competitor research / LTV-CAC,yellow,средняя,"Есть go/no-go логика, каналы, стоп-сигналы, запрет трафика до QA.","Нет QA PASS, capacity proof, финальной экономики и legal/payment gates.",Готовить первый traffic decision только после контрольного заказа.,co2p-marketing-first-traffic-gonogo.html; launch-before-traffic-action-plan.html
SRC12,Google Docs/Sheets/Drive,yellow,"средняя для стратегии, неполная для runtime","Три Google-источника извлечены: конкурентная карта, разбор главных страниц конкурентов, ранний план запуска аналога Nebula.","Не доказывают текущую backend/runtime готовность, QA, legal/payment gates и фактическую экономику.","Использовать для стратегии, оффера, контента и UX; не считать доказательством готовности запуска.",google-strategy-sources.html; artifacts/GOOGLE_STRATEGY_SOURCE_REGISTER_2026_06_05.csv
SRC13,Figma / закрытые или нестабильные ссылки,yellow,"средняя для source coverage, неполная для acceptance","Локальные Oracle/Nebula источники найдены: H:\Nebula\GPT, figma-manifest, publishable map, implementation queue, readiness, export pack и audit UI.",Нет полного screen-by-screen acceptance для P0 paid-flow и runtime-связки с backend/content/QA.,Использовать источники для screen contract; не считать дизайн готовым без test order proof и QA.,oracle-nebula-design-source-coverage.html; oracle-nebula-mvp-screen-readiness-map.html; artifacts/ORACLE_NEBULA_DESIGN_SOURCE_COVERAGE_2026_06_05.csv
SRC14,Runtime контрольный заказ,red,"отсутствует как runtime, contract готов","Runtime proof contract создан: 10 доказательств, которые должны появиться по безопасному контрольному заказу.","Нет фактического order id, session id, question binding, answer proof, no-send log, support case и QA verdict.","Закрыть gate, провести safe test order и заполнить runtime proof contract фактами.",runtime-proof-contract.html; test-order-readiness-gate.html; test-order-runtime-cockpit.html
