ID;Шаг клиента;Что должен видеть клиент;Что должно появиться в backend/admin;Что готовит PM/Антон;Что возвращает Игорь/QA;Accepted proof;Статус
CJX01;Оффер и доверие;Что это за услуга, формат, цена/срок, ограничения, why trust;CTA source, selected service/package marker;Оффер, FAQ, disclaimer, CTA contract;Скрин CTA→package/order route;CTA ведет в правильный заказ, нет misleading claims;Желтый
CJX02;Выбор услуги/эксперта;Тема/пакет/эксперт/категория и ожидание ответа;service_id/package_id/profile_id/category_id;Решение MVP: ручное назначение или выбор эксперта;Связка выбранного item с order/session;Выбор влияет на assignment/admin route;Красный
CJX03;Регистрация без потери пути;После входа заказ/выбор не теряется;user_id/session_id/return_to/order draft;Auth microcopy и error states;Скрин guest→login→same order;Клиент возвращается к тому же заказу;Желтый
CJX04;Checkout и согласие;Цена, валюта, one-time, Terms/Privacy/Refund/disclaimer;order_id/test marker/consent snapshot;Checkout wording и docs links;Safe order/no-charge proof;Нет реального платежа, согласие видно до оплаты;Красный
CJX05;Вопрос клиента;Как задать вопрос, примеры, лимиты, срок;question_id linked to order/session;Question form copy и sensitive warning;Скрин client/admin same question;Вопрос не теряется и связан с order_id;Красный
CJX06;Ожидание статуса;Заказ принят, кто отвечает/когда ждать, support link;assignment/deadline/status events;Status text и notification copy;Скрин status + admin deadline;Клиент понимает next step, admin видит owner;Красный
CJX07;Ответ эксперта;Ответ, автор/анкета, follow-up, support;answer_id/client view/admin view;Result screen copy и quality rules;Скрин answer client/admin/expert;Ответ связан с консультацией и виден клиенту;Красный
CJX08;Уведомления;Письмо/статус о заказе, назначении, ответе, support;event_id/template/recipient/external_send=false;Email texts и footer/disclaimer;No-send preview/event log;События есть, наружу ничего не ушло;Красный
CJX09;Support/problem;Куда жаловаться, что указать, какой статус;support_case_id/reason/owner/decision;Support copy и failure states;Скрин case tied to order/session;Проблема имеет владельца и решение;Красный
CJX10;Документы и правила;Terms/Privacy/Refund/disclaimer/FAQ до оплаты;legal routes/checkout links/version;HTML-ready docs package;Скрины pages/links/checkout consent;Нет dating legacy, нет скрытой подписки;Желтый/Approval
CJX11;Повторное касание;Follow-up, новый вопрос, support/repeat CTA;repeat_event/source/session/order link;Lifecycle copy и retention hypothesis;No-send repeat preview + tracked CTA;Повтор можно измерить, но не запускать до MVP proof;Желтый
CJX12;Аналитика запуска;Клиент не видит, PM видит source→order→answer→support;source/session/order/value/expert/support;Daily report template;PAC row + QA report;Можно считать первый тестовый funnel;Красный
