Блок;PM-статус;Что закрыто самим PM;Что еще не доказано;Следующее действие;Страница proof
Стратегия;Закрыто PM-документом;Есть strategy board и карта решений стратегии;Не все внешние Google/Figma источники извлечены полностью;Дособирать закрытые источники при доступе;strategy-decision-proof-map-2026-06-06.html
План июня;Закрыто PM-документом / сопровождать;Есть 160-часовой план, человеческая версия, proof-связки;Реальное выполнение задач месяца еще не завершено;Еженедельно обновлять по факту; june-plan.html
Trello sync;Закрыто PM-документом / сопровождать;Зафиксировано не менять названия, брать актуальные карточки как источник;Нужен повторный read при новых правках в Trello;Синхронизировать только по факту изменений;trello-source-of-truth-operating-board.html
Контент и банк знаний;Частично закрыто PM-документом;Есть контент-реестр и gap register;Не все закрытые Google/Trello вложения прочитаны по содержанию;Извлекать доступные документы и помечать доступ;nebula-content-knowledge-gap-register-2026-06-06.html
Дизайн / экраны / backend-связь;Частично закрыто PM-документом;Есть карта страниц/backend/content и screen contract sheet;Не доказана runtime-связка frontend→backend;После доступа к макетам и safe order обновить screen verdict;page-content-backend-readiness-map-2026-06-06.html
Экспертный контур;Подготовлен, но запусково красный;Есть школа, регламент, admission sheets;0/5 экспертов accepted proof;Собрать E01-E05 по листу допуска;expert-launch-admission-control-2026-06-06.html
Runtime заказа;Подготовлен, но запусково красный;Есть safe order package, capture sheets, QA route;Нет order_id/test_run_id/runtime proof;Ждать/запросить proof от Игоря;launch-proof-execution-queue.html
Email и уведомления;Подготовлен, но запусково красный;Есть no-send capture и event expectations;Нет event_id/preview/external_send=false proof;Проверить на safe order после Игоря;nosend-control-order-capture-sheet-2026-06-06.html
Support и проблемные состояния;Подготовлен, но запусково красный;Есть support/problem capture sheet;Нет support_case_id/owner/closure proof;Проверить проблемный сценарий после safe order;support-problem-control-order-capture-sheet-2026-06-06.html
Документы и checkout trust;Частично PM-подготовка;Есть лист public docs/checkout;Нет final seller/provider/descriptor/refund/geography approval;Готовить HTML-ready pack без утверждения;public-docs-checkout-capture-sheet-2026-06-06.html
Маркетинг и первый трафик;Подготовлен, но запусково красный;Есть traffic/economy gate и SEO backlog;Нет QA, capacity, analytics, legal/payment gates;Не запускать рекламу, готовить preflight;first-traffic-economy-launch-gate-2026-06-06.html
AI и масштабирование;Закрыто как post-MVP backlog;Есть отдельный backlog и условия входа;Нельзя внедрять до core proof;Вернуться после метрик MVP;ai-scaling-post-mvp-backlog-2026-06-06.html
QA;Подготовлен, но запусково красный;Есть QAC лист и QA brief;QA нельзя стартовать без safe order/E01/no-send/admin/support READY;Запустить только после READY;prelaunch-qa-capture-sheet-2026-06-06.html
MVP backlog;Закрыто PM-документом / ждет proof;Есть master backlog и порядок закрытия 12 блоков;11 красных блоков не имеют accepted proof;Двигаться по очереди 1→2→3; mvp-launch-readiness-backlog-2026-06-06.html
