"id","cadence","area","source","check","red","action","trello","owner"
"D01","Каждое утро","Состояние июньского плана","june-plan.html; june-execution-control.html","Какие задачи в работе, какие должны получить proof сегодня, какие стоят без движения.","Задача влияет на контрольный заказ и не имеет владельца/следующего шага.","Зафиксировать next action в Blue Panel; если работа у команды — подготовить короткий ping владельцу.","Без шума. В карточку писать только если есть важный статус, блокер или weekly update.","PM"
"D02","Каждое утро","Красные блокеры MVP","mvp-blocker-backlog.html; admin-operations-control-map.html","Safe test order, question binding, workspace, admin visibility, no-send, support, experts, QA verdict.","Любой P1-блокер без текущего владельца или acceptance proof.","Обновить backlog/очередь команды и подготовить конкретную задачу владельцу.","Если блокер относится к карточке месяца — комментарий с причиной остановки и кого ждем.","PM"
"D03","Каждое утро","Игорь / backend-admin runtime","igor-test-order-acceptance-contract.html; test-order-readiness-gate.html","Есть ли safe order proof, admin route, assignment, workspace, event log, support case.","Нет ответа/артефакта по AC, который блокирует QA test order.","Подготовить короткий acceptance checklist и запросить ровно недостающий proof.","Комментарий только если задача стоит или изменилась причина стопа.","PM + Игорь"
"D04","Каждое утро","Эксперты и Ксения","first-five-expert-admission-journal.html; ksenia-expert-school-review-task.html","Есть ли статус каждого из 5 экспертов: обучение, тест, пробный ответ, допуск/доработка/стоп.","Эксперт должен быть готов к тестовому запуску, но нет допуска или причины.","Обновить журнал допуска; Ксении давать только ревизию понятности/практичности, не экспертный анализ вместо PM.","В карточке школы фиксировать только итоговый прогресс и ссылку на журнал.","PM + Ксения"
"D05","Каждое утро","Антон / дизайн","screen-backend-content-control.html","Какие экраны/состояния нужны под paid flow: offer, checkout, question, chat, result, support, profile.","Экран нужен для контрольного заказа или доверия до оплаты, но нет макета/правки/контента.","Формировать правку как сценарий: что видит клиент, что делает backend, какой текст, какой QA.","В дизайн-карточке писать понятный результат, не техническую свалку.","PM + Антон"
"D06","В течение дня","Входящие факты и proof","pm-evidence-intake-control.html; pm-current-state-proof-ledger.html","Появились ли новые скрины, ссылки, ответы команды, CSV, QA report, runtime logs.","Факт пришел, но не привязан к области, статусу и следующему шагу.","Классифицировать факт: green/yellow/red, обновить соответствующую страницу и ссылку.","Если факт закрывает результат карточки — добавить ссылку результата в эту карточку.","PM"
"D07","Каждый вечер","Сдвиг по контрольному заказу","test-order-runtime-cockpit.html; qa-test-order-execution-brief.html","Стало ли ближе к QA: gate READY, order id, assignment, answer, no-send, support case.","День прошел, а главный blocker route не сдвинулся и нет причины.","Обновить status summary; если нужен человек — сформулировать конкретный запрос без лишней переписки.","Если задача в работе — не чаще нужного, но фиксировать остановку красной меткой/комментарием по регламенту.","PM"
"D08","Каждый вечер","Светофор запуска","pm-global-project-state-map.html; launch-readiness-master-control.html","Нужно ли пересчитать green/yellow/red после новых proof.","Статус выглядит зеленым без runtime proof или противоречит карте состояния.","Не завышать готовность. Менять статус только по proof.","В Trello не переносить внутренний светофор, только итог задачи и ссылку.","PM"
"D09","Понедельник","Weekly Trello update","june-plan.html; team-action-queue.html","По карточкам в работе: процесс идет/стоит, проблема, кого ждем, что изменилось, ссылка на результат.","Карточка в работе неделю без понятного прогресса или причины.","Подготовить короткий weekly comment по стандарту Заказчика.","1 раз в неделю по понедельникам: мини-сводка без технического мусора.","PM"
"D10","Перед передачей Игорю","co2p-пакет","co2p-runtime-implementation-handoff-index.html","Есть бизнес-смысл, макет/HTML/экран, backend-связь, acceptance criteria, QA-документ, proof page.","Задача отдается программисту без макета, критериев или QA-проверки.","Дособрать пакет до состояния передачи; если невозможно — отметить блокер.","В карточке результата давать ссылку на готовую Blue Panel страницу.","PM"
"D11","Перед QA","QA старт","test-order-readiness-gate.html; qa-test-order-execution-brief.html","Gate READY: safe order, route, роли, no-send, support, доступ тестировщика, ожидаемый результат.","QA хотят запускать без safe order или без понятного expected result.","Не запускать QA; вернуть в gate с конкретным STOP.","Если QA заблокирован — комментарий почему и кого ждем.","PM + QA"
"D12","Конец месяца","Отчет Заказчику","alexey-master-plan.html; june-plan.html; pm-global-project-state-map.html","По каждой задаче: выполнена/частично/не выполнена, причина, ссылка на результат, общий процент.","Нет доказательства результата или причина невыполнения не зафиксирована.","Собрать месячный отчет строго в конце месяца/первый день нового месяца.","В отчете перечислить задачи, статусы, причины и итоговый % плана.","PM + Алексей"
