Экран/блок;Кто использует;Что должно быть;Критерий приемки;Статус
Мои консультации;Эксперт/агент;Новые, назначенные, в работе, просроченные, спорные, закрытые;Исполнитель понимает, что делать первым;Нужно подтвердить
Карточка консультации;Эксперт/агент/админ/поддержка;Заказ, клиент, вопрос, тема, язык, срок, исполнитель, статус, история;Из карточки открываются заказ, вопрос, чат и события;Критично
Чат консультации;Эксперт/агент/модератор;Сообщения, черновик, шаблоны, подсказки, перевод, заметки;Ответ фиксируется и меняет статус;Есть отдельный web-контур
База знаний;Эксперт/агент;Регламент, школа, запреты, примеры, FAQ;Открывается из рабочего места;Нужно собрать
Качество и замечания;Эксперт/модератор/админ;Оценки, замечания, доработки, нарушения, санкции;Замечание связано с ответом и консультацией;Нужно подтвердить
Начисления;Эксперт/агент/админ;Сумма, период, консультация, удержания, бонусы;После закрытия создается тестовое начисление;Нужно подтвердить
Доступность и нагрузка;Эксперт/агент/админ;Онлайн, лимит активных, пауза, график;Админ не перегружает 5 экспертов;Нужно подтвердить
Назначение анкет;Админ/агент;Анкета, ответственный, период, история смены;Агент видит только назначенные анкеты;Временная модель
Роли и права;Все роли;Эксперт, агент, модератор, поддержка, админ;Нет доступа к чужим данным и лишним действиям;Критично
События;Все роли по доступу;Назначение, срок, просрочка, ответ, жалоба, начисление, видимость;События видны без реальной отправки писем;Связать с событиями
