ID;Зона;Что должно быть видно;Почему важно;Proof приемки;Статус сейчас;Следующее действие
AV01;Новые заказы;Заказ, клиент, услуга, сумма/test mode, источник, статус оплаты;Понять пришли ли деньги и создана ли работа;Скрин списка/карточки заказа на safe order;Красный - нет proof;Игорь показывает safe order в админке
AV02;Заказы без вопроса;Клиент оплатил/начал, но вопрос не задан, статус ожидания и no-send reminder;Клиент теряется до получения услуги;Скрин очереди ждет вопрос;Красный - нет proof;Смоделировать заказ без вопроса
AV03;Назначение исполнителя;Кто назначен, анкета, язык, нагрузка, ручное/авто назначение;Заказ не должен зависнуть без ответственного;Скрин назначения и статусного лога;Красный - нет proof;Назначить тестового эксперта/агента
AV04;SLA и просрочки;Дедлайн ответа, осталось времени, overdue, владелец реакции;Просрочка главный риск первых продаж;Скрин deadline/overdue state;Красный - нет proof;Проверить SLA на safe order
AV05;Работа эксперта/агента;Задачи, ответы, скорость, статусы, комментарии, доступные анкеты;Нужно видеть кто работает и где бутылочное горлышко;Скрин рабочего места под ролью;Красный - нет proof;Показать роль исполнителя на заказе
AV06;Support и жалобы;Кейс, причина, заказ, чат, эксперт, владелец, решение, статус;Problem-state должен быть управляем;Скрин support-кейса с order id;Красный - нет proof;Пройти один problem-state сценарий
AV07;No-send события;Письма/уведомления должны создаться без реальной отправки;Нельзя тестировать коммуникации реальными письмами;Скрин event log/preview;Красный - нет proof;Снять no-send log по заказу
AV08;Качество ответа;Оценка ответа, замечания, critical stop, повторная проверка;Качество влияет на жалобы, LTV и возвраты;Scorecard по одному ответу;Желтый - методика есть, runtime нет;Оценить первый пробный/QA ответ
AV09;Видимость экспертов;Кто выше, кто скрыт, кто на паузе, кто boosted, причина и срок;Сильные эксперты должны получать больше, слабые меньше;Скрин visibility/audit log или ручной реестр;Желтый - модель есть, proof нет;Проверить boost/freeze с причиной
AV10;Начисления;Сумма эксперту/агенту, hold, удержание, payout status, связь с заказом;Эксперты должны понимать деньги, админ обязательства;Скрин preview начисления или out of MVP;Желтый - scope уточняется;После safe order показать начисление без выплаты
AV11;Аналитика покупки;Источник, заказ, сумма, валюта, услуга, эксперт, support outcome, repeat;CAC/LTV нельзя считать без связки фактов;Строка purchase analytics proof;Красный - нет proof;Связать заказ с analytics register
AV12;Ежедневный итог;Новые, закрытые, просроченные, проблемные, деньги, следующий владелец;PM управляет запуском по фактам;Daily report за тестовый день;Красный - нет proof;Собрать report после первого QA-заказа
