"id","shortLink","list","closed","name","url","descChars","comments","attachments","checklists","checkItems","links","labels","dateLastActivity"
"67c5a9fbcafcdfb9477ca014","9BXWigzx","Информация","False","Порядок работы с задачами","https://trello.com/c/9BXWigzx","1716","0","0","0","0","0","","21.03.2026 9:38:42"
"673c713a9bc6a412dde2149e","R3zG94rp","Информация","False","! Шаблон карточки. Не Удалять !","https://trello.com/c/R3zG94rp","0","0","0","2","8","0","","09.06.2025 16:54:48"
"677a6772a3633e0b9dc62a73","YTbUpXyP","Информация","False","Карта проекта для YouDate","https://trello.com/c/YTbUpXyP","0","1","0","0","0","1","","30.01.2025 7:19:57"
"677a6785665bb7dfb6db6800","2YF1MPkU","Информация","False","Карта проекта для Содержанок","https://trello.com/c/2YF1MPkU","0","1","0","0","0","1","","30.01.2025 7:20:07"
"679a5f1fe7af40cca84e5d0c","lFuqVm1g","Информация","False","Регистрация на сайте rabota.ua","https://trello.com/c/lFuqVm1g","104","1","0","0","0","1","","13.02.2025 8:29:01"
"67371615216f8df95ffc81b7","pqvpoJ1S","Информация","False","Nebula","https://trello.com/c/pqvpoJ1S","85","2","0","0","0","0","","02.06.2025 8:27:26"
"677a67db7f77cd9b87d3bcc8","ndCJvPF7","Информация","False","Дизайнеры","https://trello.com/c/ndCJvPF7","85","8","1","1","4","9","","09.05.2025 19:55:46"
"69ba81e9a140b70292f4c51a","6tuZ8sB5","Информация","False","Карта чатов NEbula / Casual","https://trello.com/c/6tuZ8sB5","293","0","0","0","0","1","","18.03.2026 10:44:48"
"681875a6b499cba4a8d980d8","MSZQtXaS","Информация","True","Политика / terms","https://trello.com/c/MSZQtXaS","0","3","0","0","0","3","","04.08.2025 7:39:29"
"6799ebc0d66e4258389f87e8","GhCqaXXl","Архив (Выполнено)","False","Сохранить лендинг по анализам","https://trello.com/c/GhCqaXXl","77","0","4","0","0","5","","03.03.2025 14:05:29"
"6756f9b7b69ef26b73739c66","T1FgBdRQ","Архив (Выполнено)","False","Таблица сравнения сайтов","https://trello.com/c/T1FgBdRQ","223","1","0","0","0","1","","03.03.2025 14:03:41"
"66f2b3eed3313f5201c31280","ANoE9iaC","Архив (Выполнено)","False","Оценка функционала сайта RH / Содержанки","https://trello.com/c/ANoE9iaC","70","0","1","0","0","1","","21.07.2025 9:00:15"
"67067752078e9fcc1ce32792","8niXIR9M","Архив (Выполнено)","False","Найти верстальшика на RH, Сод, (3 шт)","https://trello.com/c/8niXIR9M","130","4","0","0","0","4","","03.03.2025 14:03:43"
"67685e9e88f2f2686ccc945b","ePulr9EY","Архив (Выполнено)","False","Подготовить примеры анализов","https://trello.com/c/ePulr9EY","0","0","4","0","0","4","","03.03.2025 14:03:46"
"6744798adc66b3e08d297744","xGDQhKrO","Архив (Выполнено)","False","Примеры чат-ботов - Дайвинчик","https://trello.com/c/xGDQhKrO","73","0","18","0","0","18","","03.03.2025 14:03:49"
"670677a3b211430c1151b2d1","PXhFYUGF","Архив (Выполнено)","False","ТЗ по сайду содержанок (для обсуждения и корректировок)","https://trello.com/c/PXhFYUGF","123","7","2","0","0","7","","03.03.2025 14:03:53"
"67448fcba9ca1218edfe13cd","6jtQYeGI","Архив (Выполнено)","False","Примеры чат-ботов - XO","https://trello.com/c/6jtQYeGI","86","1","19","0","0","19","","03.03.2025 14:03:48"
"673f3a25d33b650ae98f442c","eZoNmx3h","Архив (Выполнено)","False","Тестовая среда для программиста","https://trello.com/c/eZoNmx3h","0","2","0","0","0","3","","03.03.2025 14:05:57"
"67a081c296aa5bd37430cf08","73h0MgwU","Архив (Выполнено)","False","Тестовая среда для прогера на Yii2","https://trello.com/c/73h0MgwU","0","1","0","0","0","2","","03.03.2025 14:06:10"
"67685ff020439673d3658f41","FmvNeaOx","Архив (Выполнено)","False","Тестовая среда для прогера по yii2","https://trello.com/c/FmvNeaOx","216","1","0","0","0","1","","04.08.2025 8:21:32"
"673f3ead290867232c74fa1f","3GBGbPz7","Архив (Выполнено)","False","Тестовая среда для верстальщика","https://trello.com/c/3GBGbPz7","0","1","0","0","0","0","","03.03.2025 14:05:58"
"673b20956f2d607f68f73858","3vV2c2wr","Архив (Выполнено)","False","Расшифровка анализов AI","https://trello.com/c/3vV2c2wr","175","2","0","0","0","3","","03.03.2025 14:06:02"
"67bec1b672d382e048af03b2","VrcCVwIe","Архив (Выполнено)","False","Купить шаблоны сайтов","https://trello.com/c/VrcCVwIe","0","1","0","0","0","2","","03.03.2025 14:06:08"
"677a6612bd0e9f3dba355c1e","vg6Z1pSb","Архив (Выполнено)","False","Выбрать гипотезу для лендинга по ИИ","https://trello.com/c/vg6Z1pSb","0","1","0","0","0","0","","03.03.2025 14:32:29"
"6799e6072ec3ce5f7f3026dd","MhIzJjxS","Архив (Выполнено)","False","Отрисовать недостающие страницы для H","https://trello.com/c/MhIzJjxS","0","1","1","0","0","2","","17.12.2025 18:16:48"
"670e62224052802a487bc11c","uLKDQRWY","Архив (Выполнено)","False","Найти программиста для Бота","https://trello.com/c/uLKDQRWY","151","5","3","0","0","7","","17.12.2025 18:17:44"
"673cb7174c261070345a28f1","sQE044pT","Архив (Выполнено)","False","Прототип чат-бота","https://trello.com/c/sQE044pT","57","7","1","0","0","4","","17.12.2025 18:18:12"
"67bebd560834e8f39d7eb7e5","T5o0gWEu","Архив (Выполнено)","False","Небула. Подготовительный этап","https://trello.com/c/T5o0gWEu","223","7","0","1","4","5","","18.12.2025 10:40:53"
"67ed1addbbbde499fadc61b7","SbEOcTaR","Архив (Выполнено)","False","Работа с дизайнером по страницам H","https://trello.com/c/SbEOcTaR","69","2","2","0","0","5","","18.12.2025 10:41:05"
