"Block","Owner","Need","Acceptance","Proof"
"Бизнес-результат","PM + Игорь","Платная консультация существует как единый заказ услуги, а не как разрозненные order/credits/message.","Тестовый клиент создает заказ, пишет вопрос, админ видит карточку услуги, назначает исполнителя, эксперт отвечает, клиент видит ответ.","backend-consultation-domain-gap-proof.html; consultation-domain-layer-tz.html"
"Режим проверки без денег","Игорь + QA","Sandbox/test режим success/failed/canceled/pending без реального провайдера и без списания.","Все payment states создают корректные статусы, но деньги не списываются и реальные письма не уходят.","paid-consultation-test-flow.html; test-order-runtime-proof-plan.html"
"Сущность service_session","Игорь","Универсальная сущность услуги: order_id, client_id, question_id, expert_profile_id, agent_id, status, deadline, price, currency, language, source/utm.","Карточка service_session доступна в админке и связана с order, вопросом, чатом, events, support.","consultation-domain-layer-tz.html"
"Вопрос клиента","Игорь + фронт","Вопрос не живет отдельно: он создается после тестовой оплаты или в разрешенном test-flow и привязан к заказу/услуге.","Нельзя потерять вопрос; в админке видны текст, язык, категория, клиент, order/session.","jun-08-screen-content-pack-v1.html; paid-consultation-test-flow.html"
"Назначение исполнителя","Игорь + PM","Ручное назначение эксперта/агента на service_session с запуском SLA.","Исполнитель видит задачу, дедлайн, контекст, вопрос и может открыть связанный чат.","expert-agent-workspace-igor-qa-package.html"
"Чат консультации","Игорь","Сообщения чата связаны с конкретной service_session, а не просто с общим dating-чатом.","Админ, support, клиент и исполнитель видят один и тот же контекст консультации по правам доступа.","admin-chat-workspace-v2-handoff.html; expert-agent-workspace-handoff.html"
"События и no-send уведомления","Игорь + QA","События: заказ создан, тестовая оплата, вопрос получен, назначен исполнитель, ответ готов, просрочка, support/refund.","В no-send preview видны письма/уведомления и переменные без реальной отправки.","email-notifications-igor-qa-package.html; events.html"
"Support/refund связь","Игорь + PM","Тикет поддержки связан с order_id, service_session_id, клиентом, чатом, причиной и решением.","Проверены сценарии: эксперт молчит, клиент недоволен, платеж завис, спор/возврат.","support-refund-igor-qa-package.html; support-refund-readiness.html"
"Начисления исполнителю","Игорь + PM","Тестовая запись начисления по service_session без реальной выплаты.","Эксперт/агент видит начисление в test-mode, админ видит статус начисления и причину удержания/бонуса.","expert-agent-compensation-handoff.html"
"QA proof","QA/tester + PM","Публичный QA-отчет со скринами, состояниями, логами событий и итогом PASS/WARN/STOP.","До PASS трафик запрещен. WARN допускает только внутренний тест. STOP возвращает задачу Игорю.","pre-traffic-qa-decision-package.html; launch-test-scenario.html"
