number,event,when_it_happens,visible_to,expected_output,qa_proof,status
1,order_created,Клиент начал покупку услуги,"Клиент; админ; аналитика","Карточка заказа; payment_pending; preview письма",Скрин заказа и preview,нужно внедрить
2,payment_test_success/payment_failed,Тестовая оплата успешна или отказана,"Клиент; support; админ","Переход к вопросу или failed/canceled статус",4 тестовых статуса оплаты,блокер
3,question_required,Оплата есть но вопрос не заполнен,"Клиент; support","Напоминание; ссылка на вопрос; очередь оплачен без вопроса",Preview и очередь support,блокер
4,question_submitted,Клиент отправил вопрос,"Админ; support; будущий исполнитель","service_session; тема; язык; дедлайн; контекст",Карточка консультации,блокер
5,assignment_created/assignment_changed,Назначен эксперт или агент,"Эксперт/агент; админ; модератор","Задача; deadline; ссылка на чат; история переназначения",Рабочее место и assignment log,блокер
6,sla_warning/session_overdue,Срок скоро истекает или нарушен,"Исполнитель; админ; support","Предупреждение; escalation; переназначение",Дедлайн и очередь просрочек,блокер
7,answer_draft_saved/answer_sent,Исполнитель готовит и отправляет ответ,"Клиент; админ; аналитика; качество","Ответ готов; закрытие дедлайна; запрос оценки",Чат статус уведомление,блокер
8,support_ticket_created/support_status_changed,Жалоба или сбой,"Support; админ; модератор","Тикет с заказом чатом исполнителем причиной",Support ticket и preview,блокер
9,refund_requested/refund_review_started/refund_decided,Запрос или решение по возврату,"Support; админ; финансы; клиент","Статус решения; причина; клиентский текст",Решение без реального refund,legal/payment gate
10,quality_review_created,Спорный ответ жалоба просрочка или выборочная проверка,"Модератор; админ; PM","Проверка ответа; замечание; санкция; обучение",Карточка quality review,после рабочего места
11,compensation_created,Ответ закрыт и рассчитана компенсация,"Эксперт/агент; админ; финансы","Тестовое начисление; причина; связь с quality/support",Начисление без выплаты,после ответа
12,visibility_changed,Эксперта подняли понизили скрыли или ограничили,"Админ; модератор; эксперт/агент","Лог причины; срок ограничения; связь с quality/SLA",Изменение видимости,операционный слой
