"Area","Status","Evidence","Link","Proven","Missing","Next"
"Первые 5 экспертов","Желтый","Есть решение стартовать с 5 готовыми экспертами и журнал допуска","first-five-expert-admission-journal.html","Можно запускать подготовку без публичной регистрации экспертов","Журнал не заполнен реальными экспертами и proof допуска","Заполнить 5 строк: обучение, практика, ревизия, допуск, ограничения"
"Школа экспертов v1","Желтый","Есть операционный пакет школы v1 и пакет запуска для первых 5 экспертов","expert-school-v1-operational-pack.html","Структура обучения, тестов, практики и ревизии подготовлена","Полный доступ ко всем исходным урокам и фактическое прохождение","Собрать полный учебный маршрут и запустить ревизию Ксении"
"Учебные материалы AskNebula/PbExpert","Желтый","Есть реестр учебных материалов и отмеченные закрытые/недоступные источники","expert-training-materials-register.html","Материалы найдены и частично извлечены","Не все вложения/уроки доступны по содержанию","Добрать закрытые уроки или заменить их нашей методикой"
"Ксения как ревизор","Желтый","Есть задача Ксении и роль ревизора в skill/Blue Panel","ksenia-expert-school-review-task.html","Ксения не методолог, а проверяющий понятность эксперт","Фактический отзыв Ксении по регламенту и школе","Дать ей пошаговую ревизию после финализации материалов PM"
"Регламент работы","Желтый","Есть регламент работы экспертов и агентов v1","expert-work-regulation-v1.html","Структура правил уже создана: сроки, тон, качество, запреты, эскалации","Финальная ревизия, примеры ответов, санкции и связь с админкой","Довести до версии, которую можно выдавать эксперту перед работой"
"Допуск к платным консультациям","Красный","Есть журнал допуска, но не доказан процесс допуска","first-five-expert-admission-journal.html","Формат допуска определен","Нет факта: эксперт прошел обучение, тест, практику, проверку качества и включен в работу","Заполнить журнал по каждому из 5 экспертов и зафиксировать ограничения"
"Рабочее место эксперта/агента","Красный","Есть handoff-пакет Игорю","expert-agent-workspace-handoff.html","Описаны роли, вкладки, задачи, сроки, чат, качество, начисления","Не доказан runtime-доступ эксперта/агента в админке на test order","Игорю: подтвердить/реализовать role-based workspace и снять proof"
"Назначение консультации","Красный","Связано с test order и expert workspace пакетами","igor-test-order-consultation-handoff.html","Понимание процесса есть","Нет proof order → assignment → expert task → answer","Проверить назначение исполнителя на тестовой консультации"
"SLA ответа","Красный","Упоминается в регламенте и рабочем месте","expert-agent-workspace-handoff.html","Срок ответа нужен как launch requirement","Не утвержден/не доказан публичный и внутренний SLA, нет просрочки и escalation proof","Зафиксировать SLA v1 и проверить просроченный сценарий"
"Качество ответа","Желтый","Есть карта качества экспертов и модерации","expert-quality-moderation.html","Критерии качества и модерации описаны","Нет проверки реальных ответов первых экспертов по рубрике","Сделать 3 тестовых ответа и оценить по quality checklist"
"Видимость и ранжирование экспертов","Желтый","Требование поднятия сильных экспертов обсуждено и связано с quality moderation","expert-quality-moderation.html","Механика нужна как часть качества и удержания","Нет формулы: рейтинг, скорость, жалобы, конверсия, ручное поднятие/понижение","Описать v1 ranking rule для админки и MVP"
"Модерация, санкции, баны","Желтый","Есть QA-отчеты по bans/moderation и карта качества","backend-admin-readiness-map.html","Платформа имеет базу модерации","Связь санкций с плохим ответом/жалобой клиента в Nebula","Прописать warning/temporary hide/ban/refund escalation"
"Начисления","Желтый","Есть handoff-пакет начислений","expert-agent-compensation-handoff.html","Статусы, удержания и видимость начислений описаны","Founder decisions по ставкам и runtime proof начисления после консультации","Сделать тестовое начисление без реальных выплат после закрытия test order"
"Уведомления эксперта и агента","Желтый","Есть email/events handoff","email-notifications-handoff.html","События и получатели описаны","No-send proof для экспертских уведомлений на test order","Проверить назначение, дедлайн, просрочку, новый вопрос, жалобу"
"Поддержка вокруг эксперта","Красный","Есть support/refund handoff","support-refund-handoff.html","Жалоба должна связываться с заказом, чатом и исполнителем","Нет proof, как support влияет на эксперта, качество и начисления","Проверить сценарий плохого ответа и решения support"
"Масштабирование после bootstrap","Желтый","Модель: сначала 5 экспертов, потом классический набор и обучение","expert-school-first-five-launch-package.html","Стартовая модель не должна ломать будущую классическую систему","Нет будущего expert application/admission pipeline в backend proof","После стабилизации первых 5 оформить публичный набор экспертов"
