"Code","TrelloTitle","OriginalTitle","Status","Action","Url"
"JUN-01","Codex plan","Codex plan","OK: исходное название восстановлено","Не переименовывать. Код JUN-01 держать только в Blue Panel.","https://trello.com/c/gJnFd2wT"
"JUN-02","Прогнать все макеты готовых ТЗ через Codex","Прогнать все макеты готовых ТЗ через Codex","OK: исходное название восстановлено","Не переименовывать. В описании можно уточнить результат человеческим языком.","https://trello.com/c/awgleR9M"
"JUN-03","Email tempates","Email tempates","OK: исходное название восстановлено, но есть опечатка в исходнике","Без прямой команды не исправлять заголовок. Смысл раскрыть в описании.","https://trello.com/c/e8aFOO8G"
"JUN-04","Описать регламент работы на основе Nebula / PbExpert","Описать регламент работы на основе Nebula / PbExpert","OK: исходное название восстановлено","Не переименовывать. Дополнить описание и proof-ссылки.","https://trello.com/c/oZYN15XV"
"JUN-05","Продумать ЗП для сотрудников","Продумать ЗП для сотрудников","OK: исходное название восстановлено","Не переименовывать. Внутри задачи объяснить модель оплаты ролей.","https://trello.com/c/bNsEmcDz"
"JUN-06","Школа экспертов для первых 5 экспертов","Создано Codex как JUN-06 — Школа экспертов и обучение первых 5 экспертов","Новая карточка Codex, пользовательского старого названия нет","Текущее название оставить: оно человеческое и без кода.","https://trello.com/c/36nRKvdb"
"JUN-07","Пакет рабочего места эксперта и агента в админке","Создано Codex как JUN-07 — Admin chat и экспертский доступ через роли админки","Новая карточка Codex, пользовательского старого названия нет","Текущее название оставить, при желании можно заменить на более живое после согласования.","https://trello.com/c/bRjDaHwL"
"JUN-08","Проверка страниц и функций перед запуском рекламы","Создано Codex как JUN-08 — Реестр страниц, экранов и P0 QA/failure states","Новая карточка Codex, сейчас название стало человеческим","Оставить текущее название. P0/QA убрать из заголовков, держать внутри.","https://trello.com/c/A4zqo2EI"
"JUN-UX","Работа с Антоном / дизайн","Работа с Антоном / дизайн","OK: исходное название восстановлено","Не переименовывать. В описании зафиксировать роль Антона и ссылки на макеты/правки.","https://trello.com/c/rlMQoaVy"
"GEO","Новый макет страны / города","Новый макет страны / города","OK: не переименовывалась","Оставить как есть, это отдельный GEO-контур.","https://trello.com/c/PrkrhWqN"
