ID,Экран/зона,Цель для пользователя,Дизайн proof,Frontend route,Backend/админка,Контент,Failure states,QA proof,Owner,Статус,Следующий шаг
SCR01,Вход с рекламы и коммерческая страница,"Понять услугу формат цену доверие и CTA",Oracle/Nebula landing/export или текущая верстка,Landing page / vertical page,CTA ведет к регистрации/выбору услуги/заказу,"Оффер FAQ trust disclaimer цена срок ответа","Неясный CTA; пустой эксперт; недоступная услуга",Скрин страницы + клик CTA,PM + Антон + Игорь,частично,Сопоставить CTA с test-order маршрутом
SCR02,Регистрация вход восстановление доступа,Попасть в сервис и не потерять намерение покупки,Login/signup/forgot макеты или верстка,Auth pages,"User/auth; session; return_to checkout/order","Ошибки privacy note email-сообщения","Неверный пароль; email занят; forgot не сработал",Скрины guest -> auth -> возврат к покупке,Игорь + QA,частично,Включить auth в контрольный заказ
SCR03,Онбординг после регистрации,Собрать intent клиента без перегруза,Onboarding/prototype/export,Post-signup modal/flow,"intent; тема; вопрос; язык; birth data если нужно","Вопросы анкеты подсказки privacy text","Пропуск шага; пустые данные; неверный формат",Скрин сохраненного intent,PM + Антон + Игорь,частично,Решить обязательный минимум MVP
SCR04,Выбор услуги / пакета / цены,Выбрать понятную платную консультацию,Карточки пакетов,Packages / checkout entry,"service_id; package_id; price; availability","Что входит; срок ответа; ограничения; refund note","Нет доступных пакетов; цена не совпала; валюта",Скрин package -> order draft,PM + Игорь,не доказано,Связать package с safe order
SCR05,Checkout / безопасная тестовая оплата,Понять оплату и подтвердить заказ без риска,Checkout/payment state,Checkout page,"order_id; payment/test status; no real charge flag","Terms; consent; descriptor placeholder; support note","Payment error; cancel; pending; duplicate",Скрин safe checkout + order created,Игорь + QA,не доказано,Показать no-real-charge test path
SCR06,Вопрос клиента,Оставить вопрос так чтобы эксперт понял задачу,Question form / chat entry,Question page/modal,question_id связан с order/session/client,"Подсказки; лимиты; sensitive disclaimer","Пустой вопрос; слишком коротко; вложения; язык",Скрин question_id внутри заказа,PM + Игорь + QA,не доказано,Связать question с test order
SCR07,Спасибо / статус заказа,Понять что заказ принят и когда ждать ответ,Success/status screen,Order status page,created/assigned/in_progress/completed/overdue,"Срок ответа; support link; что дальше","Order pending; expert not assigned; overdue",Скрин status + order_id,Игорь + QA,не доказано,Проверить after-checkout state
SCR08,Кабинет клиента / чат / результат,Увидеть ответ историю и следующий шаг,Client cabinet/chat/result screens,User cabinet/chat/result,"answer_id; transcript; follow-up; repeat marker","Ответ; next step; CTA repeat; support entry","Ответ не готов; эксперт заменен; ошибка загрузки",Скрин клиента с ответом и order,Игорь + QA,не доказано,Доказать answer visibility
SCR09,Рабочее место эксперта / агента,Эксперт видит задачу срок контекст и отвечает,Admin/workspace/chat screen,Expert/admin workspace,"assignment; task; SLA; answer submit; profile_id","Подсказки; регламент; quality reminder","Нет задач; просрочка; нет прав; язык",Скрин workspace по test order,Игорь + PM + QA,не доказано,Связать с E01 admission
SCR10,Админская очередь заказов,Админ видит все что влияет на запуск,Admin queue/dashboard,Admin order queue,"orders; statuses; assignment; SLA; alerts","Фильтры; статусы; причины; владельцы","Зависшие заказы; просрочки; нет исполнителя",Скрин admin timeline/order row,Игорь + PM,не доказано,Показать order timeline
SCR11,Support / проблемный заказ,Решить жалобу просрочку или слабый ответ,Support/refund/problem state,Support/admin case,"support_case_id; owner; decision; closure","Тексты статуса; причины; no-send preview","Жалоба без order; нет владельца; нет решения",SPC01-SPC10 capture sheet,PM + Игорь + QA,не доказано,Пройти problem-state на safe order
SCR12,Email / уведомления preview,Проверить сообщения без реальной отправки,Email preview/admin log,No-send/event log,"event_id; template; variables; recipient role","Subject/body; переменные; языки","missing variable; wrong recipient; send leak",NSC01-NSC10 capture sheet,Игорь + QA,не доказано,Снять no-send proof
SCR13,Документы FAQ дисклеймеры,Понять правила до оплаты и снизить риск претензий,Terms/Privacy/FAQ/trust pages,Public pages / checkout consent,"legal docs; refund review wording; disclaimer","Terms; Privacy; Refund; FAQ; support path","Нет документа; неверная ссылка; нет consent",Скрин docs + checkout checkbox/link,PM + founder/legal,частично,Готовить HTML-ready пакет решения позже
SCR14,Аналитика и отчет первого дня,Понять что происходит с заказами и экономикой,Analytics/report dashboard,Daily report/source/order/value/support fields,"source; order; value; expert; support; status","Названия метрик; расшифровки; owners","Нет source; нет value; ручной отчет без ссылок",PAC01-PAC12 capture sheet,PM + Игорь + QA,не доказано,Связать safe order с purchase analytics
