seconds,timecode,file,reason,diff
0.000,00:00:00,00-00-00_changed.jpg,changed,1.0000
15.000,00:00:15,00-00-15_changed.jpg,changed,0.2952
165.000,00:02:45,00-02-45_changed.jpg,changed,0.0756
210.000,00:03:30,00-03-30_changed.jpg,changed,0.0862
225.000,00:03:45,00-03-45_changed.jpg,changed,0.0822
405.000,00:06:45,00-06-45_periodic.jpg,periodic,0.0460
510.000,00:08:30,00-08-30_changed.jpg,changed,0.0795
690.000,00:11:30,00-11-30_periodic.jpg,periodic,0.0567
870.000,00:14:30,00-14-30_periodic.jpg,periodic,0.0695
1050.000,00:17:30,00-17-30_periodic.jpg,periodic,0.0702
1065.000,00:17:45,00-17-45_changed.jpg,changed,0.0802
1080.000,00:18:00,00-18-00_changed.jpg,changed,0.0952
1095.000,00:18:15,00-18-15_changed.jpg,changed,0.0820
1245.000,00:20:45,00-20-45_changed.jpg,changed,0.0799
1290.000,00:21:30,00-21-30_changed.jpg,changed,0.0778
1350.000,00:22:30,00-22-30_changed.jpg,changed,0.0842
1425.000,00:23:45,00-23-45_changed.jpg,changed,0.0973
1440.000,00:24:00,00-24-00_changed.jpg,changed,0.1131
1470.000,00:24:30,00-24-30_changed.jpg,changed,0.0976
1560.000,00:26:00,00-26-00_changed.jpg,changed,0.0888
1725.000,00:28:45,00-28-45_changed.jpg,changed,0.0763
1770.000,00:29:30,00-29-30_changed.jpg,changed,0.0807
1860.000,00:31:00,00-31-00_changed.jpg,changed,0.0837
1920.000,00:32:00,00-32-00_changed.jpg,changed,0.0803
1935.000,00:32:15,00-32-15_changed.jpg,changed,0.0783
1965.000,00:32:45,00-32-45_changed.jpg,changed,0.0781
2130.000,00:35:30,00-35-30_changed.jpg,changed,0.1040
2145.000,00:35:45,00-35-45_changed.jpg,changed,0.1212
2325.000,00:38:45,00-38-45_periodic.jpg,periodic,0.0511
2355.000,00:39:15,00-39-15_changed.jpg,changed,0.0912
2430.000,00:40:30,00-40-30_changed.jpg,changed,0.0940
2445.000,00:40:45,00-40-45_changed.jpg,changed,0.0843
2535.000,00:42:15,00-42-15_changed.jpg,changed,0.0785
2550.000,00:42:30,00-42-30_changed.jpg,changed,0.0809
2625.000,00:43:45,00-43-45_changed.jpg,changed,0.0830
2745.000,00:45:45,00-45-45_changed.jpg,changed,0.0965
2775.000,00:46:15,00-46-15_changed.jpg,changed,0.0923
2910.000,00:48:30,00-48-30_changed.jpg,changed,0.0885
3090.000,00:51:30,00-51-30_periodic.jpg,periodic,0.0526
3225.000,00:53:45,00-53-45_changed.jpg,changed,0.0944
3240.000,00:54:00,00-54-00_changed.jpg,changed,0.0968
3345.000,00:55:45,00-55-45_changed.jpg,changed,0.0791
3525.000,00:58:45,00-58-45_periodic.jpg,periodic,0.0371
3660.000,01:01:00,01-01-00_changed.jpg,changed,0.2981
3675.000,01:01:15,01-01-15_changed.jpg,changed,0.3132
3855.000,01:04:15,01-04-15_periodic.jpg,periodic,0.0234
4035.000,01:07:15,01-07-15_periodic.jpg,periodic,0.0558
4050.000,01:07:30,01-07-30_changed.jpg,changed,0.0974
4065.000,01:07:45,01-07-45_changed.jpg,changed,0.0821
4110.000,01:08:30,01-08-30_changed.jpg,changed,0.0756
4125.000,01:08:45,01-08-45_changed.jpg,changed,0.0782
4140.000,01:09:00,01-09-00_changed.jpg,changed,0.0909
4320.000,01:12:00,01-12-00_periodic.jpg,periodic,0.0297
4500.000,01:15:00,01-15-00_periodic.jpg,periodic,0.0275
4680.000,01:18:00,01-18-00_periodic.jpg,periodic,0.0272
4860.000,01:21:00,01-21-00_periodic.jpg,periodic,0.0419
4905.000,01:21:45,01-21-45_changed.jpg,changed,0.0787
4935.000,01:22:15,01-22-15_changed.jpg,changed,0.0769
4980.000,01:23:00,01-23-00_changed.jpg,changed,0.0825
5040.000,01:24:00,01-24-00_changed.jpg,changed,0.0930
5100.000,01:25:00,01-25-00_changed.jpg,changed,0.0862
5115.000,01:25:15,01-25-15_changed.jpg,changed,0.1034
5145.000,01:25:45,01-25-45_changed.jpg,changed,0.0902
5325.000,01:28:45,01-28-45_periodic.jpg,periodic,0.0010
5415.000,01:30:15,01-30-15_changed.jpg,changed,0.0835
5460.000,01:31:00,01-31-00_changed.jpg,changed,0.0932
5610.000,01:33:30,01-33-30_changed.jpg,changed,0.0772
5670.000,01:34:30,01-34-30_changed.jpg,changed,0.0776
5685.000,01:34:45,01-34-45_changed.jpg,changed,0.0884
