seconds,timecode,file,reason,diff
0.000,00:00:00,00-00-00_changed.jpg,changed,1.0000
15.000,00:00:15,00-00-15_changed.jpg,changed,0.2692
60.000,00:01:00,00-01-00_changed.jpg,changed,0.1922
90.000,00:01:30,00-01-30_changed.jpg,changed,0.3522
105.000,00:01:45,00-01-45_changed.jpg,changed,0.3696
120.000,00:02:00,00-02-00_changed.jpg,changed,0.0774
150.000,00:02:30,00-02-30_changed.jpg,changed,0.1638
165.000,00:02:45,00-02-45_changed.jpg,changed,0.2326
240.000,00:04:00,00-04-00_changed.jpg,changed,0.1396
300.000,00:05:00,00-05-00_changed.jpg,changed,0.3918
330.000,00:05:30,00-05-30_changed.jpg,changed,0.1724
435.000,00:07:15,00-07-15_changed.jpg,changed,0.0927
615.000,00:10:15,00-10-15_periodic.jpg,periodic,0.0035
630.000,00:10:30,00-10-30_changed.jpg,changed,0.0960
660.000,00:11:00,00-11-00_changed.jpg,changed,0.0812
840.000,00:14:00,00-14-00_changed.jpg,changed,0.0953
855.000,00:14:15,00-14-15_changed.jpg,changed,0.0965
885.000,00:14:45,00-14-45_changed.jpg,changed,0.0781
1065.000,00:17:45,00-17-45_periodic.jpg,periodic,0.0611
1245.000,00:20:45,00-20-45_periodic.jpg,periodic,0.0395
1320.000,00:22:00,00-22-00_changed.jpg,changed,0.0773
1485.000,00:24:45,00-24-45_changed.jpg,changed,0.0782
1545.000,00:25:45,00-25-45_changed.jpg,changed,0.0901
1560.000,00:26:00,00-26-00_changed.jpg,changed,0.0942
1680.000,00:28:00,00-28-00_changed.jpg,changed,0.0909
1695.000,00:28:15,00-28-15_changed.jpg,changed,0.0925
1830.000,00:30:30,00-30-30_changed.jpg,changed,0.1539
1845.000,00:30:45,00-30-45_changed.jpg,changed,0.2559
1890.000,00:31:30,00-31-30_changed.jpg,changed,0.0815
1935.000,00:32:15,00-32-15_changed.jpg,changed,0.0794
2085.000,00:34:45,00-34-45_changed.jpg,changed,0.0897
2265.000,00:37:45,00-37-45_periodic.jpg,periodic,0.0505
2325.000,00:38:45,00-38-45_changed.jpg,changed,0.0953
2340.000,00:39:00,00-39-00_changed.jpg,changed,0.1625
2400.000,00:40:00,00-40-00_changed.jpg,changed,0.0838
2445.000,00:40:45,00-40-45_changed.jpg,changed,0.0757
2550.000,00:42:30,00-42-30_changed.jpg,changed,0.0754
2640.000,00:44:00,00-44-00_changed.jpg,changed,0.0797
2820.000,00:47:00,00-47-00_periodic.jpg,periodic,0.0487
3000.000,00:50:00,00-50-00_periodic.jpg,periodic,0.0384
3180.000,00:53:00,00-53-00_periodic.jpg,periodic,0.0296
3345.000,00:55:45,00-55-45_changed.jpg,changed,0.0970
3420.000,00:57:00,00-57-00_changed.jpg,changed,0.0777
3600.000,01:00:00,01-00-00_periodic.jpg,periodic,0.0616
3780.000,01:03:00,01-03-00_periodic.jpg,periodic,0.0408
3960.000,01:06:00,01-06-00_periodic.jpg,periodic,0.0258
4140.000,01:09:00,01-09-00_periodic.jpg,periodic,0.0376
4215.000,01:10:15,01-10-15_changed.jpg,changed,0.1036
4245.000,01:10:45,01-10-45_changed.jpg,changed,0.1084
4425.000,01:13:45,01-13-45_periodic.jpg,periodic,0.0466
4605.000,01:16:45,01-16-45_periodic.jpg,periodic,0.0002
4725.000,01:18:45,01-18-45_changed.jpg,changed,0.0905
4740.000,01:19:00,01-19-00_changed.jpg,changed,0.0774
4770.000,01:19:30,01-19-30_changed.jpg,changed,0.0889
4800.000,01:20:00,01-20-00_changed.jpg,changed,0.0806
4845.000,01:20:45,01-20-45_changed.jpg,changed,0.0885
4875.000,01:21:15,01-21-15_changed.jpg,changed,0.0810
5010.000,01:23:30,01-23-30_changed.jpg,changed,0.0804
5130.000,01:25:30,01-25-30_changed.jpg,changed,0.0770
5220.000,01:27:00,01-27-00_changed.jpg,changed,0.0869
5280.000,01:28:00,01-28-00_changed.jpg,changed,0.0973
5295.000,01:28:15,01-28-15_changed.jpg,changed,0.1036
5325.000,01:28:45,01-28-45_changed.jpg,changed,0.0760
5370.000,01:29:30,01-29-30_changed.jpg,changed,0.0843
5445.000,01:30:45,01-30-45_changed.jpg,changed,0.0753
5625.000,01:33:45,01-33-45_periodic.jpg,periodic,0.0512
5655.000,01:34:15,01-34-15_changed.jpg,changed,0.0837
5670.000,01:34:30,01-34-30_changed.jpg,changed,0.0912
5700.000,01:35:00,01-35-00_changed.jpg,changed,0.0943
5820.000,01:37:00,01-37-00_changed.jpg,changed,0.0839
5925.000,01:38:45,01-38-45_changed.jpg,changed,0.0759
6105.000,01:41:45,01-41-45_periodic.jpg,periodic,0.0386
6225.000,01:43:45,01-43-45_changed.jpg,changed,0.0835
6240.000,01:44:00,01-44-00_changed.jpg,changed,0.0936
6420.000,01:47:00,01-47-00_periodic.jpg,periodic,0.0449
6600.000,01:50:00,01-50-00_periodic.jpg,periodic,0.0640
6705.000,01:51:45,01-51-45_changed.jpg,changed,0.0822
6720.000,01:52:00,01-52-00_changed.jpg,changed,0.0912
6735.000,01:52:15,01-52-15_changed.jpg,changed,0.0991
6810.000,01:53:30,01-53-30_changed.jpg,changed,0.0787
6840.000,01:54:00,01-54-00_changed.jpg,changed,0.0838
6990.000,01:56:30,01-56-30_changed.jpg,changed,0.0943
7005.000,01:56:45,01-56-45_changed.jpg,changed,0.1044
7125.000,01:58:45,01-58-45_changed.jpg,changed,0.0774
7155.000,01:59:15,01-59-15_changed.jpg,changed,0.0788
7185.000,01:59:45,01-59-45_changed.jpg,changed,0.0756
7260.000,02:01:00,02-01-00_changed.jpg,changed,0.0817
7440.000,02:04:00,02-04-00_changed.jpg,changed,0.0791
7500.000,02:05:00,02-05-00_changed.jpg,changed,0.0845
7530.000,02:05:30,02-05-30_changed.jpg,changed,0.0950
7545.000,02:05:45,02-05-45_changed.jpg,changed,0.1016
7590.000,02:06:30,02-06-30_changed.jpg,changed,0.0799
7620.000,02:07:00,02-07-00_changed.jpg,changed,0.1012
7635.000,02:07:15,02-07-15_changed.jpg,changed,0.0760
7650.000,02:07:30,02-07-30_changed.jpg,changed,0.0775
7695.000,02:08:15,02-08-15_changed.jpg,changed,0.0777
7875.000,02:11:15,02-11-15_periodic.jpg,periodic,0.0636
7950.000,02:12:30,02-12-30_changed.jpg,changed,0.0832
7965.000,02:12:45,02-12-45_changed.jpg,changed,0.1074
8025.000,02:13:45,02-13-45_changed.jpg,changed,0.0804
8085.000,02:14:45,02-14-45_changed.jpg,changed,0.0808
8160.000,02:16:00,02-16-00_changed.jpg,changed,0.0877
8175.000,02:16:15,02-16-15_changed.jpg,changed,0.1040
8355.000,02:19:15,02-19-15_periodic.jpg,periodic,0.0550
8490.000,02:21:30,02-21-30_changed.jpg,changed,0.0831
8520.000,02:22:00,02-22-00_changed.jpg,changed,0.0783
8700.000,02:25:00,02-25-00_periodic.jpg,periodic,0.0214
8805.000,02:26:45,02-26-45_changed.jpg,changed,0.0865
8940.000,02:29:00,02-29-00_changed.jpg,changed,0.0809
9120.000,02:32:00,02-32-00_periodic.jpg,periodic,0.0358
9255.000,02:34:15,02-34-15_changed.jpg,changed,0.0853
9435.000,02:37:15,02-37-15_periodic.jpg,periodic,0.0636
9510.000,02:38:30,02-38-30_changed.jpg,changed,0.0772
9570.000,02:39:30,02-39-30_changed.jpg,changed,0.0778
9750.000,02:42:30,02-42-30_periodic.jpg,periodic,0.0567
9930.000,02:45:30,02-45-30_periodic.jpg,periodic,0.0659
10050.000,02:47:30,02-47-30_changed.jpg,changed,0.0929
10065.000,02:47:45,02-47-45_changed.jpg,changed,0.0845
10095.000,02:48:15,02-48-15_changed.jpg,changed,0.0886
10125.000,02:48:45,02-48-45_changed.jpg,changed,0.3456
10140.000,02:49:00,02-49-00_changed.jpg,changed,0.3531
10200.000,02:50:00,02-50-00_changed.jpg,changed,0.3553
10215.000,02:50:15,02-50-15_changed.jpg,changed,0.3517
10365.000,02:52:45,02-52-45_changed.jpg,changed,0.0790
10410.000,02:53:30,02-53-30_changed.jpg,changed,0.0806
10560.000,02:56:00,02-56-00_changed.jpg,changed,0.0804
10620.000,02:57:00,02-57-00_changed.jpg,changed,0.0784
10650.000,02:57:30,02-57-30_changed.jpg,changed,0.0752
10710.000,02:58:30,02-58-30_changed.jpg,changed,0.0750
10770.000,02:59:30,02-59-30_changed.jpg,changed,0.0888
10875.000,03:01:15,03-01-15_changed.jpg,changed,0.0829
10950.000,03:02:30,03-02-30_changed.jpg,changed,0.0868
11025.000,03:03:45,03-03-45_changed.jpg,changed,0.0839
11070.000,03:04:30,03-04-30_changed.jpg,changed,0.0796
11130.000,03:05:30,03-05-30_changed.jpg,changed,0.0793
11310.000,03:08:30,03-08-30_periodic.jpg,periodic,0.0636
11400.000,03:10:00,03-10-00_changed.jpg,changed,0.0767
11445.000,03:10:45,03-10-45_changed.jpg,changed,0.0766
11565.000,03:12:45,03-12-45_changed.jpg,changed,0.0767
11610.000,03:13:30,03-13-30_changed.jpg,changed,0.1072
11640.000,03:14:00,03-14-00_changed.jpg,changed,0.0894
11775.000,03:16:15,03-16-15_changed.jpg,changed,0.0860
11820.000,03:17:00,03-17-00_changed.jpg,changed,0.0807
12000.000,03:20:00,03-20-00_periodic.jpg,periodic,0.0642
12045.000,03:20:45,03-20-45_changed.jpg,changed,0.0783
12060.000,03:21:00,03-21-00_changed.jpg,changed,0.0892
12210.000,03:23:30,03-23-30_changed.jpg,changed,0.0777
12255.000,03:24:15,03-24-15_changed.jpg,changed,0.0849
12375.000,03:26:15,03-26-15_changed.jpg,changed,0.0820
12390.000,03:26:30,03-26-30_changed.jpg,changed,0.0852
