"url","finalUrl","status","statusCode","title","h1","forms","linkCount"
"https://confideline.com/","https://confideline.com/","PASS","200","Welcome to YouDate!","Welcome to YouDate!","2","23"
"https://confideline.com/ru","https://confideline.com/ru","PASS","200","Welcome to YouDate!","Welcome to YouDate!","2","23"
"https://confideline.com/en","https://confideline.com/en","PASS","200","Welcome to YouDate!","Welcome to YouDate!","2","23"
"https://confideline.com/ru/login","https://confideline.com/ru/login","PASS","200","Войти","","1","6"
"https://confideline.com/en/login","https://confideline.com/en/login","PASS","200","Sign in","","1","6"
"https://confideline.com/ru/signup","https://confideline.com/ru/signup","PASS","200","Регистрация","","1","5"
"https://confideline.com/en/signup","https://confideline.com/en/signup","PASS","200","Sign up","","1","5"
"https://confideline.com/ru/search","https://confideline.com/ru/search","FAIL","404","Not Found (#404)","Страница не найдена","0","1"
"https://confideline.com/en/search","https://confideline.com/en/search","FAIL","404","Not Found (#404)","Page not found","0","1"
"https://confideline.com/ru/directory","https://confideline.com/ru/directory","PASS","200","Найти людей","","2","68"
"https://confideline.com/en/directory","https://confideline.com/en/directory","PASS","200","Find People","","2","68"
"https://confideline.com/ru/settings/profile","https://confideline.com/ru/login","PASS","200","Войти","","1","6"
"https://confideline.com/en/settings/profile","https://confideline.com/en/login","PASS","200","Sign in","","1","6"
"https://confideline.com/en/news/serenity-hassir-taken-posseson-of-mying-entire","https://confideline.com/en/news/serenity-hassir-taken-posseson-of-mying-entire","FAIL","500","Error (#8192)","Error (#8192)","0","0"
"https://confideline.com/en/","https://confideline.com/en/","PASS","200","Welcome to YouDate!","Welcome to YouDate!","2","23"
