"page","screenshot","status"
"index.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\index-html.png","exists"
"cells/cell-platform-functionality-universe.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\cells-cell-platform-functionality-universe-html.png","exists"
"cells/cell-pm-execution-2026-06-03.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\cells-cell-pm-execution-2026-06-03-html.png","exists"
"cells/cell-pm-master-launch-plan-2026-06-04.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\cells-cell-pm-master-launch-plan-2026-06-04-html.png","exists"
"docs/admin-ops.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-admin-ops-html.png","exists"
"docs/co2p-process.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-co2p-process-html.png","exists"
"docs/dependencies.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-dependencies-html.png","exists"
"docs/developer-handoff.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-developer-handoff-html.png","exists"
"docs/events.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-events-html.png","exists"
"docs/evidence.html","H:\GPT-Codex-worktrees\platform-functionality-universe\.ops\knowledge\nebula\visual-cockpit\service-blueprint-v2\assets\evidence\ux-pass-2026-06-04\docs-evidence-html.png","exists"
