"condition_id","constant","label","use"
"0","NONE","No conditions","Мгновенное/обычное событие без дополнительной сегментации."
"1","NOT_LOGGED_1_DAY","Hasn't logged in for 1 day","Follow-up после user.register, если пользователь не вошел 1 день."
"2","NOT_LOGGED_3_DAYS","Hasn't logged in for 3 days","Follow-up после user.register, если пользователь не вошел 3 дня."
"3","NOT_LOGGED_7_DAYS","Hasn't logged in for 7 days","Follow-up после user.register, если пользователь не вошел 7 дней."
"4","NO_PHOTOS","No photos","Legacy profile/photo сценарий; не нужен для текущей онлайн чат-консультации."
"5","NO_MESSAGES","No messages","Можно применить для no-first-message reminder, но нужно проверить, что условие смотрит именно чат-консультацию, а не legacy personal messages."
"6","PROFILE_LESS_30","Profile is less than 30% complete","Legacy profile scenario."
"7","NOT_PREMIUM","Not premium","Legacy premium scenario."
"8","PREMIUM_ACTIVE","Premium active","Legacy premium scenario."
"9","PREMIUM_EXPIRES_24H","Premium expires in the next 24 hours","Legacy premium scenario."
