"key","policy","value_type","scope","meaning","usage_badges","recommendation"
"accountSecurityUrl","not_translate_url","URL/Email","Config/Route","URL раздела безопасности аккаунта","Email: 15 / files 11","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"advisorName","not_translate_name","Name/Text from entity","Entity/Config","Имя эксперта/консультанта, назначенного на конкретную чат-консультацию","Email: 56 / files 33","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
"amount","locale_format","Date/Money/Number","Formatter","Сумма платежа или заказа в человекочитаемом виде","Email: 29 / files 15","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"answerDueAt","locale_format","Date/Money/Number","Formatter","Плановое время ответа эксперта по SLA","Email: 15 / files 11","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"chatUrl","not_translate_url","URL/Email","Config/Route","URL конкретного чата/консультации в кабинете","Email: 60 / files 31","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"checkoutUrl","not_translate_url","URL/Email","Config/Route","URL возврата к незавершенной оплате","Email: 24 / files 15","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"cityName","blocked_inline","Geo noun/service","SEO guard","Location names require case, article, preposition, gender, and language-specific wording in RU/ES/IT/DE/PT. Replacing them inline can break grammar and SEO readability.","SEO: 1 / files 1","Не делать inline-переменной: риск падежей, артиклей, рода и SEO-естественности. Использовать page-specific текст или whole-block."
"code","not_translate_id","ID/Secret/Code","Backend payload","","Email: 1 / files 1","Не переводить; подставлять как техническое значение, код или безопасный ID."
"confirmationExpiresAt","locale_format","Date/Money/Number","Formatter","Дата/время истечения ссылки подтверждения email","Email: 26 / files 13","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"confirmUrl","not_translate_url","URL/Email","Config/Route","URL подтверждения email","Email: 18 / files 9","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"consultationFormat","blocked_inline","Geo noun/service","SEO guard","Service and format names change form in natural sentences and in compound phrases. Use whole localized blocks instead.","SEO: 1 / files 1","Не делать inline-переменной: риск падежей, артиклей, рода и SEO-естественности. Использовать page-specific текст или whole-block."
"consultationId","not_translate_id","ID/Secret/Code","Backend payload","Внутренний ID консультации/чата","Email: 15 / files 11","Не переводить; подставлять как техническое значение, код или безопасный ID."
"countryName","blocked_inline","Geo noun/service","SEO guard","Location names require case, article, preposition, gender, and language-specific wording in RU/ES/IT/DE/PT. Replacing them inline can break grammar and SEO readability.","SEO: 1 / files 1","Не делать inline-переменной: риск падежей, артиклей, рода и SEO-естественности. Использовать page-specific текст или whole-block."
"credits","locale_format","Date/Money/Number","Formatter","","Email: 1 / files 1","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"currency","locale_format","Date/Money/Number","Formatter","Валюта платежа/возврата","Email: 42 / files 23","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"email","not_translate_url","URL/Email","Config/Route","","Email: 1 / files 1","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"emailPreferencesUrl","not_translate_url","URL/Email","Config/Route","URL настроек email-уведомлений","Email: 50 / files 23","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"errorMessage","enum_i18n","Enum-label","Email/Payment","","Email: 1 / files 1","Ошибку платежа нельзя тянуть сырой строкой провайдера; нужен код ошибки -> локализованный user-safe текст."
"expiresAt","locale_format","Date/Money/Number","Formatter","","Email: 1 / files 1","Не хранить перевод как строку; форматировать backend/render-сервисом по языку и timezone."
"expiresIn","locale_phrase","Короткая фраза","Security","","Email: 1 / files 1","Время действия кода/ссылки нужно локализовать как duration label."
"firstResponseSla","locale_phrase","Короткая фраза","Email/Chat","Обещанный срок первого ответа эксперта","Email: 15 / files 11","SLA вроде “within 24 hours” должен быть локализованной фразой или форматтером duration."
"followupOfferUrl","not_translate_url","URL/Email","Config/Route","URL предложения продолжить консультацию с тем же экспертом","Email: 15 / files 11","Не переводить; хранить как URL/email. Для ссылок переводится anchor text в шаблоне, не значение переменной."
"geoServiceListBlock","translate","HTML-блок","SEO","Whole localized service list block only. Useful for standardizing Tarot, astrology, natal chart, synastry, relocation and astrocartography lists without touching grammar inside page sentences.","SEO: 5977 / files 2061","Переводимый список услуг для geo-страниц; не использовать inline в предложениях."
"geoType","blocked_inline","Geo noun/service","SEO guard","Country/city nouns and surrounding phrases differ by language and sentence position.","SEO: 1 / files 1","Не делать inline-переменной: риск падежей, артиклей, рода и SEO-естественности. Использовать page-specific текст или whole-block."
"groupName","not_translate_name","Name/Text from entity","Entity/Config","","Email: 1 / files 1","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
"informationalDisclaimerBlock","translate","HTML-блок","SEO","Whole localized disclaimer paragraph/block only. Useful for centrally controlling no-guarantee and informational-language wording.","SEO: 5995 / files 2057","Переводимый информационный дисклеймер; централизованно контролирует юридически аккуратную формулировку."
"legalMerchantName","not_translate_name","Name/Text from entity","Entity/Config","Юридическое имя продавца/сервиса","Email: 184 / files 83","Не переводить как системную переменную. Если это системный заголовок, он должен быть отдельным ключом i18n, а не user/entity value."
